    Year      DA_Profit   FCR_Revenue  Total_Profit
0   2025  388987.236067  1.111232e+06  1.500219e+06
1   2026  403680.152291  1.052285e+06  1.455965e+06
2   2027  416977.082022  9.951105e+05  1.412088e+06
3   2028  429724.525156  9.413968e+05  1.371121e+06
4   2029  441022.156514  8.850737e+05  1.326096e+06
5   2030  451272.875371  8.320227e+05  1.283296e+06
6   2031  468426.487022  7.729918e+05  1.241418e+06
7   2032  479256.720001  7.224563e+05  1.201713e+06
8   2033  491507.628441  6.669107e+05  1.158418e+06
9   2034  502406.029898  6.153154e+05  1.117721e+06
10  2035  515969.788218  5.615805e+05  1.077550e+06
11  2036  514973.590584  5.636271e+05  1.078601e+06
12  2037  511545.538406  5.645199e+05  1.076065e+06
13  2038  509377.664454  5.655530e+05  1.074931e+06
14  2039  507122.772695  5.666711e+05  1.073794e+06
15  2040  504840.562076  5.693888e+05  1.074229e+06
