    Year      DA_Profit   FCR_Revenue  Total_Profit
0   2025  367747.206739  1.120741e+06  1.488488e+06
1   2026  361964.521610  1.070246e+06  1.432210e+06
2   2027  353729.801522  1.022525e+06  1.376255e+06
3   2028  347148.639459  9.759426e+05  1.323091e+06
4   2029  342609.754251  9.225622e+05  1.265172e+06
5   2030  335986.303585  8.739889e+05  1.209975e+06
6   2031  329427.561368  8.255826e+05  1.155010e+06
7   2032  325093.488149  7.772728e+05  1.102366e+06
8   2033  319446.281045  7.265644e+05  1.046011e+06
9   2034  314154.897588  6.781932e+05  9.923481e+05
10  2035  309297.744035  6.293201e+05  9.386178e+05
11  2036  293589.699044  6.371657e+05  9.307554e+05
12  2037  278250.932134  6.417413e+05  9.199922e+05
13  2038  264004.853912  6.473341e+05  9.113389e+05
14  2039  249432.451654  6.533016e+05  9.027340e+05
15  2040  235451.863042  6.611079e+05  8.965598e+05
