Ausschreibung,Preis
PRL_23_01_01_1,34.82
PRL_23_01_01_2,35.32
PRL_23_01_01_3,20.25
PRL_23_01_01_4,17.82
PRL_23_01_01_5,16.82
PRL_23_01_01_6,14.89
PRL_23_01_02_1,28.0
PRL_23_01_02_2,23.62
PRL_23_01_02_3,12.02
PRL_23_01_02_4,11.05
PRL_23_01_02_5,11.08
PRL_23_01_02_6,12.98
PRL_23_01_03_1,20.5
PRL_23_01_03_2,22.75
PRL_23_01_03_3,10.0
PRL_23_01_03_4,10.62
PRL_23_01_03_5,11.25
PRL_23_01_03_6,16.84
PRL_23_01_04_1,37.45
PRL_23_01_04_2,39.82
PRL_23_01_04_3,21.92
PRL_23_01_04_4,25.0
PRL_23_01_04_5,17.9
PRL_23_01_04_6,26.9
PRL_23_01_05_1,29.85
PRL_23_01_05_2,34.99
PRL_23_01_05_3,12.46
PRL_23_01_05_4,10.48
PRL_23_01_05_5,10.0
PRL_23_01_06_1,22.9
PRL_23_01_06_2,24.75
PRL_23_01_06_3,12.32
PRL_23_01_06_4,10.0
PRL_23_01_06_5,10.65
PRL_23_01_06_6,10.0
PRL_23_01_07_1,17.5
PRL_23_01_07_2,20.7
PRL_23_01_07_3,10.99
PRL_23_01_07_4,8.52
PRL_23_01_07_5,13.8
PRL_23_01_07_6,16.5
PRL_23_01_08_1,42.47
PRL_23_01_08_2,41.08
PRL_23_01_08_3,20.65
PRL_23_01_08_4,24.31
PRL_23_01_08_5,13.9
PRL_23_01_08_6,16.5
PRL_23_01_09_1,39.18
PRL_23_01_09_2,27.74
PRL_23_01_09_3,9.5
PRL_23_01_09_4,7.5
PRL_23_01_09_5,10.0
PRL_23_01_09_6,11.0
PRL_23_01_10_1,17.98
PRL_23_01_10_2,20.3
PRL_23_01_10_3,6.88
PRL_23_01_10_4,8.0
PRL_23_01_10_5,10.12
PRL_23_01_10_6,20.71
PRL_23_01_11_1,50.9
PRL_23_01_11_2,46.18
PRL_23_01_11_3,9.5
PRL_23_01_11_4,13.8
PRL_23_01_11_5,9.0
PRL_23_01_11_6,21.46
PRL_23_01_12_1,37.5
PRL_23_01_12_2,44.68
PRL_23_01_12_3,10.39
PRL_23_01_12_4,15.07
PRL_23_01_12_5,11.55
PRL_23_01_12_6,20.0
PRL_23_01_13_1,27.6
PRL_23_01_13_2,25.88
PRL_23_01_13_3,10.35
PRL_23_01_13_4,13.75
PRL_23_01_13_5,12.0
PRL_23_01_13_6,13.9
PRL_23_01_14_1,30.5
PRL_23_01_14_2,22.5
PRL_23_01_14_3,22.16
PRL_23_01_14_4,11.43
PRL_23_01_14_5,13.8
PRL_23_01_14_6,14.76
PRL_23_01_15_1,25.0
PRL_23_01_15_2,21.72
PRL_23_01_15_3,10.4
PRL_23_01_15_4,11.28
PRL_23_01_15_5,13.8
PRL_23_01_15_6,16.48
PRL_23_01_16_1,31.39
PRL_23_01_16_2,29.14
