Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2703.12;EUR/MW;2703.12;EUR;16.09;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2837.52;EUR/MW;2837.52;EUR;16.89;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;2970.24;EUR/MW;2970.24;EUR;17.68;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3660.72;EUR/MW;3660.72;EUR;21.79;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3674.16;EUR/MW;3674.16;EUR;21.87;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3689.28;EUR/MW;3689.28;EUR;21.96;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3702.72;EUR/MW;3702.72;EUR;22.04;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;1;MW;1;MW;3716.16;EUR/MW;3716.16;EUR;22.12;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4139.52;EUR/MW;20697.60;EUR;24.64;EUR/MWh*;AT
PRL_16_KW52;Primary control Auction;22;MW;22;MW;3982.00;EUR/MW;87604.00;EUR;23.70;EUR/MWh*;NL
PRL_16_KW52;Primary control Auction;10;MW;10;MW;3550.00;EUR/MW;35500.00;EUR;21.13;EUR/MWh*;NL
PRL_16_KW52;Primary control Auction;21;MW;21;MW;3625.00;EUR/MW;76125.00;EUR;21.58;EUR/MWh*;NL
PRL_16_KW52;Primary control Auction;17;MW;17;MW;2952.00;EUR/MW;50184.00;EUR;17.57;EUR/MWh*;NL
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3479.00;EUR/MW;17395.00;EUR;20.71;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;3770.00;EUR/MW;18850.00;EUR;22.44;EUR/MWh*;DE
PRL_16_KW52;Primary control Auction;5;MW;5;MW;4061.00;EUR/MW;20305.00;EUR;24.17;EUR/MWh*;DE
