Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit;Land;Angebotspreis;Einheit;Teilbarkeit
SRL_24_KW07_S1;Secondary control Auction SRL+;5;MW;5;MW;3166.80;CHF/MW;15834.00;CHF;18.85;CHF/MWh*;CH;18.85;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;5;MW;5;MW;3376.80;CHF/MW;16884.00;CHF;20.10;CHF/MWh*;CH;20.10;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;8;MW;8;MW;3712.80;CHF/MW;29702.40;CHF;22.10;CHF/MWh*;CH;22.10;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;5;MW;5;MW;2956.80;CHF/MW;14784.00;CHF;17.60;CHF/MWh*;CH;17.60;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;5;MW;5;MW;3168.48;CHF/MW;15842.40;CHF;18.86;CHF/MWh*;CH;18.86;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;10;MW;10;MW;2955.12;CHF/MW;29551.20;CHF;17.59;CHF/MWh*;CH;17.59;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;100;MW;100;MW;2167.20;CHF/MW;216720.00;CHF;12.90;CHF/MWh*;CH;12.90;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;40;MW;40;MW;2671.20;CHF/MW;106848.00;CHF;15.90;CHF/MWh*;CH;15.90;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;29;MW;29;MW;3387.00;CHF/MW;98223.00;CHF;20.16;CHF/MWh*;CH;20.16;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL+;5;MW;5;MW;3173.00;CHF/MW;15865.00;CHF;18.89;CHF/MWh*;CH;18.89;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;15;MW;15;MW;3721.00;CHF/MW;55815.00;CHF;22.15;CHF/MWh*;CH;22.15;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;10;MW;10;MW;3109.00;CHF/MW;31090.00;CHF;18.51;CHF/MWh*;CH;18.51;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;100;MW;100;MW;2940.00;CHF/MW;294000.00;CHF;17.50;CHF/MWh*;CH;17.50;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;40;MW;40;MW;3612.00;CHF/MW;144480.00;CHF;21.50;CHF/MWh*;CH;21.50;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;30;MW;30;MW;2932.00;CHF/MW;87960.00;CHF;17.45;CHF/MWh*;CH;17.45;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;5;MW;5;MW;3116.00;CHF/MW;15580.00;CHF;18.55;CHF/MWh*;CH;18.55;CHF/MWh*;
SRL_24_KW07_S1;Secondary control Auction SRL-;100;MW;100;MW;3861.00;CHF/MW;386100.00;CHF;22.98;CHF/MWh*;CH;22.98;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;10;MW;10;MW;3863.00;CHF/MW;38630.00;CHF;22.99;CHF/MWh*;CH;22.99;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;30;MW;30;MW;1972.00;CHF/MW;59160.00;CHF;11.74;CHF/MWh*;CH;11.74;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;20;MW;20;MW;3680.00;CHF/MW;73600.00;CHF;21.90;CHF/MWh*;CH;21.90;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;3108.00;CHF/MW;15540.00;CHF;18.50;CHF/MWh*;CH;18.50;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;8;MW;8;MW;1797.00;CHF/MW;14376.00;CHF;10.70;CHF/MWh*;CH;10.70;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2520.00;CHF/MW;12600.00;CHF;15.00;CHF/MWh*;CH;15.00;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;7;MW;7;MW;2521.68;CHF/MW;17651.76;CHF;15.01;CHF/MWh*;CH;15.01;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;3427.20;CHF/MW;17136.00;CHF;20.40;CHF/MWh*;CH;20.40;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;10;MW;10;MW;2518.32;CHF/MW;25183.20;CHF;14.99;CHF/MWh*;CH;14.99;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2520.00;CHF/MW;12600.00;CHF;15.00;CHF/MWh*;CH;15.00;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2814.00;CHF/MW;14070.00;CHF;16.75;CHF/MWh*;CH;16.75;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2812.32;CHF/MW;14061.60;CHF;16.74;CHF/MWh*;CH;16.74;CHF/MWh*;
SRL_24_KW08_S1;Secondary control Auction SRL+;5;MW;5;MW;2814.00;CHF/MW;14070.00;CHF;16.75;CHF/MWh*;CH;16.75;CHF/MWh*;
