Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2885.00;EUR/MW;2885.00;EUR;17.17;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2891.00;EUR/MW;2891.00;EUR;17.21;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2898.00;EUR/MW;2898.00;EUR;17.25;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2905.00;EUR/MW;2905.00;EUR;17.29;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2911.00;EUR/MW;2911.00;EUR;17.33;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2918.00;EUR/MW;2918.00;EUR;17.37;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2925.00;EUR/MW;2925.00;EUR;17.41;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2932.00;EUR/MW;2932.00;EUR;17.45;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2938.00;EUR/MW;2938.00;EUR;17.49;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2945.00;EUR/MW;2945.00;EUR;17.53;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2952.00;EUR/MW;2952.00;EUR;17.57;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2958.00;EUR/MW;2958.00;EUR;17.61;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2965.00;EUR/MW;2965.00;EUR;17.65;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2972.00;EUR/MW;2972.00;EUR;17.69;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;2979.00;EUR/MW;2979.00;EUR;17.73;EUR/MWh*
PRL_16_KW02;Primary control Auction;1;MW;1;MW;3192.00;EUR/MW;3192.00;EUR;19.00;EUR/MWh*
PRL_16_KW02;Primary control Auction;2;MW;2;MW;3027.00;EUR/MW;6054.00;EUR;18.02;EUR/MWh*
