Ausschreibung,Preis
PRL_25_01_01_1,27.28
PRL_25_01_01_2,24.81
PRL_25_01_01_3,16.35
PRL_25_01_01_4,18.44
PRL_25_01_01_5,17.2
PRL_25_01_01_6,19.0
PRL_25_01_02_1,22.34
PRL_25_01_02_2,23.29
PRL_25_01_02_3,15.93
PRL_25_01_02_4,14.07
PRL_25_01_02_5,14.26
PRL_25_01_02_6,13.55
PRL_25_01_03_1,22.43
PRL_25_01_03_2,20.84
PRL_25_01_03_3,13.4
PRL_25_01_03_4,14.26
PRL_25_01_03_5,16.02
PRL_25_01_03_6,13.21
PRL_25_01_04_1,32.22
PRL_25_01_04_2,25.57
PRL_25_01_04_3,13.35
PRL_25_01_04_4,12.83
PRL_25_01_04_5,13.31
PRL_25_01_04_6,11.79
PRL_25_01_05_1,19.34
PRL_25_01_05_2,15.49
PRL_25_01_05_3,11.89
PRL_25_01_05_4,10.17
PRL_25_01_05_5,12.93
PRL_25_01_05_6,9.6
PRL_25_01_06_1,16.54
PRL_25_01_06_2,13.32
PRL_25_01_06_3,9.13
PRL_25_01_06_4,8.64
PRL_25_01_06_5,9.77
PRL_25_01_06_6,8.94
PRL_25_01_07_1,13.06
PRL_25_01_07_2,13.78
PRL_25_01_07_3,9.24
PRL_25_01_07_4,8.11
PRL_25_01_07_5,10.34
PRL_25_01_07_6,8.46
PRL_25_01_08_1,11.96
PRL_25_01_08_2,15.97
PRL_25_01_08_3,9.62
PRL_25_01_08_4,8.8
PRL_25_01_08_5,9.51
PRL_25_01_08_6,8.17
PRL_25_01_09_1,9.62
PRL_25_01_09_2,10.98
PRL_25_01_09_3,8.62
PRL_25_01_09_4,7.89
PRL_25_01_09_5,12.58
PRL_25_01_09_6,8.08
PRL_25_01_10_1,8.79
PRL_25_01_10_2,12.98
PRL_25_01_10_3,13.19
PRL_25_01_10_4,9.15
PRL_25_01_10_5,13.5
PRL_25_01_10_6,6.92
PRL_25_01_11_1,7.79
PRL_25_01_11_2,8.75
PRL_25_01_11_3,8.35
PRL_25_01_11_4,6.65
PRL_25_01_11_5,13.12
PRL_25_01_11_6,6.46
PRL_25_01_12_1,6.37
PRL_25_01_12_2,7.89
PRL_25_01_12_3,9.42
PRL_25_01_12_4,6.14
PRL_25_01_12_5,12.9
PRL_25_01_12_6,6.08
PRL_25_01_13_1,9.93
PRL_25_01_13_2,10.48
PRL_25_01_13_3,8.39
PRL_25_01_13_4,9.51
PRL_25_01_13_5,8.16
PRL_25_01_13_6,8.17
PRL_25_01_14_1,7.01
PRL_25_01_14_2,7.53
PRL_25_01_14_3,8.55
PRL_25_01_14_4,6.46
PRL_25_01_14_5,7.53
PRL_25_01_14_6,7.29
PRL_25_01_15_1,8.65
PRL_25_01_15_2,7.84
PRL_25_01_15_3,7.61
PRL_25_01_15_4,6.44
PRL_25_01_15_5,8.92
PRL_25_01_15_6,6.45
PRL_25_01_16_1,8.37
PRL_25_01_16_2,8.27
PRL_25_01_16_3,8.71
PRL_25_01_16_4,6.92
PRL_25_01_16_5,9.85
PRL_25_01_16_6,5.86
PRL_25_01_17_1,6.9
PRL_25_01_17_2,9.48
PRL_25_01_17_3,8.15
PRL_25_01_17_4,6.16
PRL_25_01_17_5,10.58
PRL_25_01_17_6,5.69
PRL_25_01_18_1,6.49
PRL_25_01_18_2,7.25
PRL_25_01_18_3,7.57
PRL_25_01_18_4,5.4
PRL_25_01_18_5,11.45
PRL_25_01_18_6,5.84
PRL_25_01_19_1,7.15
PRL_25_01_19_2,9.03
PRL_25_01_19_3,9.51
PRL_25_01_19_4,5.89
PRL_25_01_19_5,10.91
PRL_25_01_19_6,5.71
PRL_25_01_20_1,7.6
PRL_25_01_20_2,7.39
PRL_25_01_20_3,6.18
PRL_25_01_20_4,6.03
PRL_25_01_20_5,6.24
PRL_25_01_20_6,6.62
PRL_25_01_21_1,9.43
PRL_25_01_21_2,9.23
PRL_25_01_21_3,8.97
PRL_25_01_21_4,7.59
PRL_25_01_21_5,8.1
PRL_25_01_21_6,7.05
PRL_25_01_22_1,9.46
PRL_25_01_22_2,9.6
PRL_25_01_22_3,8.95
PRL_25_01_22_4,7.64
PRL_25_01_22_5,10.32
PRL_25_01_22_6,7.46
PRL_25_01_23_1,11.88
PRL_25_01_23_2,12.58
PRL_25_01_23_3,8.95
PRL_25_01_23_4,8.55
PRL_25_01_23_5,9.33
PRL_25_01_23_6,8.83
PRL_25_01_24_1,14.18
PRL_25_01_24_2,12.81
PRL_25_01_24_3,9.4
PRL_25_01_24_4,8.96
PRL_25_01_24_5,10.98
PRL_25_01_24_6,9.51
PRL_25_01_25_1,20.51
PRL_25_01_25_2,15.59
