Ausschreibung,Preis
PRL_26_01_01_1,23.55
PRL_26_01_01_2,21.42
PRL_26_01_01_3,14.11
PRL_26_01_01_4,15.92
PRL_26_01_01_5,14.85
PRL_26_01_01_6,16.4
PRL_26_01_02_1,19.28
PRL_26_01_02_2,20.1
PRL_26_01_02_3,13.75
PRL_26_01_02_4,12.14
PRL_26_01_02_5,12.31
PRL_26_01_02_6,11.7
PRL_26_01_03_1,19.37
PRL_26_01_03_2,17.99
PRL_26_01_03_3,11.57
PRL_26_01_03_4,12.31
PRL_26_01_03_5,13.83
PRL_26_01_03_6,11.41
PRL_26_01_04_1,27.82
PRL_26_01_04_2,22.07
PRL_26_01_04_3,11.52
PRL_26_01_04_4,11.08
PRL_26_01_04_5,11.49
PRL_26_01_04_6,10.18
PRL_26_01_05_1,16.7
PRL_26_01_05_2,13.38
PRL_26_01_05_3,10.27
PRL_26_01_05_4,8.78
PRL_26_01_05_5,11.16
PRL_26_01_05_6,8.29
PRL_26_01_06_1,14.28
PRL_26_01_06_2,11.5
PRL_26_01_06_3,7.88
PRL_26_01_06_4,7.46
PRL_26_01_06_5,8.44
PRL_26_01_06_6,7.71
PRL_26_01_07_1,11.27
PRL_26_01_07_2,11.9
PRL_26_01_07_3,7.98
PRL_26_01_07_4,7.0
PRL_26_01_07_5,8.93
PRL_26_01_07_6,7.3
PRL_26_01_08_1,10.32
PRL_26_01_08_2,13.79
PRL_26_01_08_3,8.3
PRL_26_01_08_4,7.6
PRL_26_01_08_5,8.21
PRL_26_01_08_6,7.06
PRL_26_01_09_1,8.3
PRL_26_01_09_2,9.48
PRL_26_01_09_3,7.44
PRL_26_01_09_4,6.81
PRL_26_01_09_5,10.86
PRL_26_01_09_6,6.97
PRL_26_01_10_1,7.59
PRL_26_01_10_2,11.21
PRL_26_01_10_3,11.39
PRL_26_01_10_4,7.9
PRL_26_01_10_5,11.65
PRL_26_01_10_6,5.97
PRL_26_01_11_1,6.73
PRL_26_01_11_2,7.55
PRL_26_01_11_3,7.2
PRL_26_01_11_4,5.74
PRL_26_01_11_5,11.32
PRL_26_01_11_6,5.58
PRL_26_01_12_1,5.5
PRL_26_01_12_2,6.81
PRL_26_01_12_3,8.13
PRL_26_01_12_4,5.3
PRL_26_01_12_5,11.14
PRL_26_01_12_6,5.25
PRL_26_01_13_1,8.57
PRL_26_01_13_2,9.04
PRL_26_01_13_3,7.25
PRL_26_01_13_4,8.21
PRL_26_01_13_5,7.04
PRL_26_01_13_6,7.05
PRL_26_01_14_1,6.05
PRL_26_01_14_2,6.5
PRL_26_01_14_3,7.39
PRL_26_01_14_4,5.58
PRL_26_01_14_5,6.5
PRL_26_01_14_6,6.29
PRL_26_01_15_1,7.47
PRL_26_01_15_2,6.77
PRL_26_01_15_3,6.57
PRL_26_01_15_4,5.56
PRL_26_01_15_5,7.7
PRL_26_01_15_6,5.57
PRL_26_01_16_1,7.23
PRL_26_01_16_2,7.14
PRL_26_01_16_3,7.52
PRL_26_01_16_4,5.97
PRL_26_01_16_5,8.5
PRL_26_01_16_6,5.06
PRL_26_01_17_1,5.96
PRL_26_01_17_2,8.18
PRL_26_01_17_3,7.03
PRL_26_01_17_4,5.32
PRL_26_01_17_5,9.13
PRL_26_01_17_6,4.92
PRL_26_01_18_1,5.6
PRL_26_01_18_2,6.26
PRL_26_01_18_3,6.53
PRL_26_01_18_4,4.66
PRL_26_01_18_5,9.89
PRL_26_01_18_6,5.04
PRL_26_01_19_1,6.17
PRL_26_01_19_2,7.8
PRL_26_01_19_3,8.21
PRL_26_01_19_4,5.09
PRL_26_01_19_5,9.42
PRL_26_01_19_6,4.93
PRL_26_01_20_1,6.56
PRL_26_01_20_2,6.38
PRL_26_01_20_3,5.33
PRL_26_01_20_4,5.2
PRL_26_01_20_5,5.38
PRL_26_01_20_6,5.71
PRL_26_01_21_1,8.14
PRL_26_01_21_2,7.97
PRL_26_01_21_3,7.75
PRL_26_01_21_4,6.55
PRL_26_01_21_5,6.99
PRL_26_01_21_6,6.09
PRL_26_01_22_1,8.16
PRL_26_01_22_2,8.29
PRL_26_01_22_3,7.73
PRL_26_01_22_4,6.6
PRL_26_01_22_5,8.91
PRL_26_01_22_6,6.44
PRL_26_01_23_1,10.26
PRL_26_01_23_2,10.86
PRL_26_01_23_3,7.73
PRL_26_01_23_4,7.38
PRL_26_01_23_5,8.06
PRL_26_01_23_6,7.62
PRL_26_01_24_1,12.24
PRL_26_01_24_2,11.06
PRL_26_01_24_3,8.12
PRL_26_01_24_4,7.74
PRL_26_01_24_5,9.48
PRL_26_01_24_6,8.21
PRL_26_01_25_1,17.71
PRL_26_01_25_2,13.46
PRL_26_01_25_3,6.57
PRL_26_01_25_4,6.54
PRL_26_01_25_5,8.48
PRL_26_01_25_6,6.23
PRL_26_01_26_1,12.1
PRL_26_01_26_2,9.99
PRL_26_01_26_3,7.27
PRL_26_01_26_4,7.08
PRL_26_01_26_5,9.48
PRL_26_01_26_6,7.21
PRL_26_01_27_1,11.1
PRL_26_01_27_2,9.7
PRL_26_01_27_3,9.03
PRL_26_01_27_4,7.2
PRL_26_01_27_5,7.08
PRL_26_01_27_6,6.97
PRL_26_01_28_1,9.95
PRL_26_01_28_2,8.3
PRL_26_01_28_3,7.39
PRL_26_01_28_4,9.62
PRL_26_01_28_5,7.98
PRL_26_01_28_6,6.6
PRL_26_01_29_1,8.43
PRL_26_01_29_2,9.85
PRL_26_01_29_3,6.37
PRL_26_01_29_4,6.01
PRL_26_01_29_5,7.8
PRL_26_01_29_6,5.04
PRL_26_01_30_1,7.32
PRL_26_01_30_2,8.05
PRL_26_01_30_3,6.89
PRL_26_01_30_4,6.11
PRL_26_01_30_5,8.28
PRL_26_01_30_6,4.92
PRL_26_01_31_1,6.77
PRL_26_01_31_2,7.39
PRL_26_01_31_3,6.53
PRL_26_01_31_4,6.3
PRL_26_01_31_5,5.54
PRL_26_01_31_6,5.37
PRL_26_02_01_1,6.5
PRL_26_02_01_2,6.92
PRL_26_02_01_3,5.81
PRL_26_02_01_4,5.51
PRL_26_02_01_5,5.33
PRL_26_02_01_6,5.41
PRL_26_02_02_1,6.15
PRL_26_02_02_2,8.4
PRL_26_02_02_3,6.73
PRL_26_02_02_4,6.11
PRL_26_02_02_5,5.23
PRL_26_02_02_6,5.43
PRL_26_02_03_1,15.99
PRL_26_02_03_2,17.41
PRL_26_02_03_3,11.49
PRL_26_02_03_4,15.39
PRL_26_02_03_5,10.22
PRL_26_02_03_6,11.49
PRL_26_02_04_1,13.23
PRL_26_02_04_2,11.57
PRL_26_02_04_3,7.52
PRL_26_02_04_4,9.03
PRL_26_02_04_5,7.8
PRL_26_02_04_6,6.97
PRL_26_02_05_1,11.61
PRL_26_02_05_2,11.32
PRL_26_02_05_3,7.8
PRL_26_02_05_4,7.94
PRL_26_02_05_5,7.8
PRL_26_02_05_6,6.96
PRL_26_02_06_1,11.49
PRL_26_02_06_2,11.57
PRL_26_02_06_3,7.88
PRL_26_02_06_4,7.39
PRL_26_02_06_5,8.27
PRL_26_02_06_6,6.59
PRL_26_02_07_1,11.41
PRL_26_02_07_2,11.04
PRL_26_02_07_3,5.83
PRL_26_02_07_4,6.56
PRL_26_02_07_5,7.88
PRL_26_02_07_6,5.35
PRL_26_02_08_1,6.56
PRL_26_02_08_2,7.96
PRL_26_02_08_3,6.15
PRL_26_02_08_4,4.51
PRL_26_02_08_5,6.23
PRL_26_02_08_6,5.99
PRL_26_02_09_1,8.21
PRL_26_02_09_2,8.16
PRL_26_02_09_3,5.74
PRL_26_02_09_4,5.67
PRL_26_02_09_5,6.88
PRL_26_02_09_6,5.33
PRL_26_02_10_1,7.34
PRL_26_02_10_2,7.39
PRL_26_02_10_3,5.13
PRL_26_02_10_4,5.5
PRL_26_02_10_5,5.74
PRL_26_02_10_6,4.74
PRL_26_02_11_1,7.81
PRL_26_02_11_2,7.11
PRL_26_02_11_3,5.99
PRL_26_02_11_4,5.13
PRL_26_02_11_5,6.53
PRL_26_02_11_6,4.35
PRL_26_02_12_1,7.42
PRL_26_02_12_2,7.28
PRL_26_02_12_3,5.25
PRL_26_02_12_4,4.73
PRL_26_02_12_5,7.18
PRL_26_02_12_6,4.18
PRL_26_02_13_1,6.83
PRL_26_02_13_2,7.48
PRL_26_02_13_3,6.09
