Ausschreibung,Beschreibung,Total_MW
PRL_23_01_01,Primary control Auction 00:00 bis 04:00,53
PRL_23_01_01,Primary control Auction 04:00 bis 08:00,43
PRL_23_01_01,Primary control Auction 08:00 bis 12:00,58
PRL_23_01_01,Primary control Auction 12:00 bis 16:00,44
PRL_23_01_01,Primary control Auction 16:00 bis 20:00,19
PRL_23_01_01,Primary control Auction 20:00 bis 24:00,31
PRL_23_01_02,Primary control Auction 00:00 bis 04:00,78
PRL_23_01_02,Primary control Auction 04:00 bis 08:00,38
PRL_23_01_02,Primary control Auction 08:00 bis 12:00,53
PRL_23_01_02,Primary control Auction 12:00 bis 16:00,19
PRL_23_01_02,Primary control Auction 16:00 bis 20:00,19
PRL_23_01_02,Primary control Auction 20:00 bis 24:00,45
PRL_23_01_03,Primary control Auction 00:00 bis 04:00,58
PRL_23_01_03,Primary control Auction 04:00 bis 08:00,23
PRL_23_01_03,Primary control Auction 08:00 bis 12:00,19
PRL_23_01_03,Primary control Auction 12:00 bis 16:00,19
PRL_23_01_03,Primary control Auction 16:00 bis 20:00,22
PRL_23_01_03,Primary control Auction 20:00 bis 24:00,19
PRL_23_01_04,Primary control Auction 00:00 bis 04:00,74
PRL_23_01_04,Primary control Auction 04:00 bis 08:00,70
PRL_23_01_04,Primary control Auction 08:00 bis 12:00,86
PRL_23_01_04,Primary control Auction 12:00 bis 16:00,54
PRL_23_01_04,Primary control Auction 16:00 bis 20:00,50
PRL_23_01_04,Primary control Auction 20:00 bis 24:00,63
PRL_23_01_05,Primary control Auction 00:00 bis 04:00,68
PRL_23_01_05,Primary control Auction 04:00 bis 08:00,70
PRL_23_01_05,Primary control Auction 08:00 bis 12:00,28
PRL_23_01_05,Primary control Auction 12:00 bis 16:00,20
PRL_23_01_05,Primary control Auction 16:00 bis 20:00,19
PRL_23_01_05,Primary control Auction 20:00 bis 24:00,19
PRL_23_01_06,Primary control Auction 00:00 bis 04:00,59
PRL_23_01_06,Primary control Auction 04:00 bis 08:00,56
PRL_23_01_06,Primary control Auction 08:00 bis 12:00,40
PRL_23_01_06,Primary control Auction 12:00 bis 16:00,19
PRL_23_01_06,Primary control Auction 16:00 bis 20:00,31
PRL_23_01_06,Primary control Auction 20:00 bis 24:00,20
PRL_23_01_07,Primary control Auction 00:00 bis 04:00,33
PRL_23_01_07,Primary control Auction 04:00 bis 08:00,32
PRL_23_01_07,Primary control Auction 08:00 bis 12:00,31
PRL_23_01_07,Primary control Auction 12:00 bis 16:00,22
PRL_23_01_07,Primary control Auction 16:00 bis 20:00,52
PRL_23_01_07,Primary control Auction 20:00 bis 24:00,53
PRL_23_01_08,Primary control Auction 00:00 bis 04:00,36
PRL_23_01_08,Primary control Auction 04:00 bis 08:00,36
PRL_23_01_08,Primary control Auction 08:00 bis 12:00,32
PRL_23_01_08,Primary control Auction 12:00 bis 16:00,32
PRL_23_01_08,Primary control Auction 16:00 bis 20:00,31
PRL_23_01_08,Primary control Auction 20:00 bis 24:00,29
PRL_23_01_09,Primary control Auction 00:00 bis 04:00,55
PRL_23_01_09,Primary control Auction 04:00 bis 08:00,38
PRL_23_01_09,Primary control Auction 08:00 bis 12:00,19
PRL_23_01_09,Primary control Auction 12:00 bis 16:00,19
PRL_23_01_09,Primary control Auction 16:00 bis 20:00,19
PRL_23_01_09,Primary control Auction 20:00 bis 24:00,32
PRL_23_01_10,Primary control Auction 00:00 bis 04:00,34
PRL_23_01_10,Primary control Auction 04:00 bis 08:00,32
PRL_23_01_10,Primary control Auction 08:00 bis 12:00,33
PRL_23_01_10,Primary control Auction 12:00 bis 16:00,28
PRL_23_01_10,Primary control Auction 16:00 bis 20:00,35
PRL_23_01_10,Primary control Auction 20:00 bis 24:00,40
PRL_23_01_11,Primary control Auction 00:00 bis 04:00,58
PRL_23_01_11,Primary control Auction 04:00 bis 08:00,55
PRL_23_01_11,Primary control Auction 08:00 bis 12:00,29
PRL_23_01_11,Primary control Auction 12:00 bis 16:00,36
PRL_23_01_11,Primary control Auction 16:00 bis 20:00,43
PRL_23_01_11,Primary control Auction 20:00 bis 24:00,36
PRL_23_01_12,Primary control Auction 00:00 bis 04:00,39
PRL_23_01_12,Primary control Auction 04:00 bis 08:00,62
PRL_23_01_12,Primary control Auction 08:00 bis 12:00,56
PRL_23_01_12,Primary control Auction 12:00 bis 16:00,48
PRL_23_01_12,Primary control Auction 16:00 bis 20:00,63
PRL_23_01_12,Primary control Auction 20:00 bis 24:00,31
PRL_23_01_13,Primary control Auction 00:00 bis 04:00,36
PRL_23_01_13,Primary control Auction 04:00 bis 08:00,33
PRL_23_01_13,Primary control Auction 08:00 bis 12:00,34
PRL_23_01_13,Primary control Auction 12:00 bis 16:00,38
PRL_23_01_13,Primary control Auction 16:00 bis 20:00,61
PRL_23_01_13,Primary control Auction 20:00 bis 24:00,26
PRL_23_01_14,Primary control Auction 00:00 bis 04:00,32
PRL_23_01_14,Primary control Auction 04:00 bis 08:00,34
PRL_23_01_14,Primary control Auction 08:00 bis 12:00,39
PRL_23_01_14,Primary control Auction 12:00 bis 16:00,26
PRL_23_01_14,Primary control Auction 16:00 bis 20:00,30
PRL_23_01_14,Primary control Auction 20:00 bis 24:00,33
PRL_23_01_15,Primary control Auction 00:00 bis 04:00,52
PRL_23_01_15,Primary control Auction 04:00 bis 08:00,42
PRL_23_01_15,Primary control Auction 08:00 bis 12:00,41
PRL_23_01_15,Primary control Auction 12:00 bis 16:00,45
PRL_23_01_15,Primary control Auction 16:00 bis 20:00,33
PRL_23_01_15,Primary control Auction 20:00 bis 24:00,44
PRL_23_01_16,Primary control Auction 00:00 bis 04:00,67
PRL_23_01_16,Primary control Auction 04:00 bis 08:00,52
PRL_23_01_16,Primary control Auction 08:00 bis 12:00,48
PRL_23_01_16,Primary control Auction 12:00 bis 16:00,51
PRL_23_01_16,Primary control Auction 16:00 bis 20:00,49
PRL_23_01_16,Primary control Auction 20:00 bis 24:00,40
PRL_23_01_17,Primary control Auction 00:00 bis 04:00,50
PRL_23_01_17,Primary control Auction 04:00 bis 08:00,40
PRL_23_01_17,Primary control Auction 08:00 bis 12:00,67
PRL_23_01_17,Primary control Auction 12:00 bis 16:00,51
PRL_23_01_17,Primary control Auction 16:00 bis 20:00,68
PRL_23_01_17,Primary control Auction 20:00 bis 24:00,33
PRL_23_01_18,Primary control Auction 00:00 bis 04:00,73
PRL_23_01_18,Primary control Auction 04:00 bis 08:00,81
PRL_23_01_18,Primary control Auction 08:00 bis 12:00,72
PRL_23_01_18,Primary control Auction 12:00 bis 16:00,58
PRL_23_01_18,Primary control Auction 16:00 bis 20:00,77
PRL_23_01_18,Primary control Auction 20:00 bis 24:00,84
PRL_23_01_19,Primary control Auction 00:00 bis 04:00,61
PRL_23_01_19,Primary control Auction 04:00 bis 08:00,77
PRL_23_01_19,Primary control Auction 08:00 bis 12:00,79
PRL_23_01_19,Primary control Auction 12:00 bis 16:00,67
PRL_23_01_19,Primary control Auction 16:00 bis 20:00,77
PRL_23_01_19,Primary control Auction 20:00 bis 24:00,68
PRL_23_01_20,Primary control Auction 00:00 bis 04:00,55
PRL_23_01_20,Primary control Auction 04:00 bis 08:00,88
PRL_23_01_20,Primary control Auction 08:00 bis 12:00,70
PRL_23_01_20,Primary control Auction 12:00 bis 16:00,66
PRL_23_01_20,Primary control Auction 16:00 bis 20:00,76
PRL_23_01_20,Primary control Auction 20:00 bis 24:00,43
PRL_23_01_21,Primary control Auction 00:00 bis 04:00,50
PRL_23_01_21,Primary control Auction 04:00 bis 08:00,64
PRL_23_01_21,Primary control Auction 08:00 bis 12:00,55
PRL_23_01_21,Primary control Auction 12:00 bis 16:00,27
PRL_23_01_21,Primary control Auction 16:00 bis 20:00,57
PRL_23_01_21,Primary control Auction 20:00 bis 24:00,37
PRL_23_01_22,Primary control Auction 00:00 bis 04:00,51
PRL_23_01_22,Primary control Auction 04:00 bis 08:00,65
PRL_23_01_22,Primary control Auction 08:00 bis 12:00,29
PRL_23_01_22,Primary control Auction 12:00 bis 16:00,33
PRL_23_01_22,Primary control Auction 16:00 bis 20:00,37
PRL_23_01_22,Primary control Auction 20:00 bis 24:00,39
PRL_23_01_23,Primary control Auction 00:00 bis 04:00,36
PRL_23_01_23,Primary control Auction 04:00 bis 08:00,87
PRL_23_01_23,Primary control Auction 08:00 bis 12:00,67
PRL_23_01_23,Primary control Auction 12:00 bis 16:00,31
PRL_23_01_23,Primary control Auction 16:00 bis 20:00,55
PRL_23_01_23,Primary control Auction 20:00 bis 24:00,60
PRL_23_01_24,Primary control Auction 00:00 bis 04:00,25
PRL_23_01_24,Primary control Auction 04:00 bis 08:00,53
PRL_23_01_24,Primary control Auction 08:00 bis 12:00,52
PRL_23_01_24,Primary control Auction 12:00 bis 16:00,66
PRL_23_01_24,Primary control Auction 16:00 bis 20:00,43
PRL_23_01_24,Primary control Auction 20:00 bis 24:00,68
PRL_23_01_25,Primary control Auction 00:00 bis 04:00,27
PRL_23_01_25,Primary control Auction 04:00 bis 08:00,45
PRL_23_01_25,Primary control Auction 08:00 bis 12:00,51
PRL_23_01_25,Primary control Auction 12:00 bis 16:00,79
PRL_23_01_25,Primary control Auction 16:00 bis 20:00,77
PRL_23_01_25,Primary control Auction 20:00 bis 24:00,55
PRL_23_01_26,Primary control Auction 00:00 bis 04:00,34
PRL_23_01_26,Primary control Auction 04:00 bis 08:00,33
PRL_23_01_26,Primary control Auction 08:00 bis 12:00,44
PRL_23_01_26,Primary control Auction 12:00 bis 16:00,23
PRL_23_01_26,Primary control Auction 16:00 bis 20:00,69
PRL_23_01_26,Primary control Auction 20:00 bis 24:00,23
PRL_23_01_27,Primary control Auction 00:00 bis 04:00,24
PRL_23_01_27,Primary control Auction 04:00 bis 08:00,74
PRL_23_01_27,Primary control Auction 08:00 bis 12:00,40
PRL_23_01_27,Primary control Auction 12:00 bis 16:00,29
PRL_23_01_27,Primary control Auction 16:00 bis 20:00,56
PRL_23_01_27,Primary control Auction 20:00 bis 24:00,44
PRL_23_01_28,Primary control Auction 00:00 bis 04:00,31
PRL_23_01_28,Primary control Auction 04:00 bis 08:00,49
PRL_23_01_28,Primary control Auction 08:00 bis 12:00,22
PRL_23_01_28,Primary control Auction 12:00 bis 16:00,35
PRL_23_01_28,Primary control Auction 16:00 bis 20:00,40
PRL_23_01_28,Primary control Auction 20:00 bis 24:00,34
PRL_23_01_29,Primary control Auction 00:00 bis 04:00,35
PRL_23_01_29,Primary control Auction 04:00 bis 08:00,35
PRL_23_01_29,Primary control Auction 08:00 bis 12:00,33
PRL_23_01_29,Primary control Auction 12:00 bis 16:00,33
PRL_23_01_29,Primary control Auction 16:00 bis 20:00,50
PRL_23_01_29,Primary control Auction 20:00 bis 24:00,62
PRL_23_01_30,Primary control Auction 00:00 bis 04:00,55
PRL_23_01_30,Primary control Auction 04:00 bis 08:00,93
PRL_23_01_30,Primary control Auction 08:00 bis 12:00,55
PRL_23_01_30,Primary control Auction 12:00 bis 16:00,100
PRL_23_01_30,Primary control Auction 16:00 bis 20:00,59
PRL_23_01_30,Primary control Auction 20:00 bis 24:00,81
PRL_23_01_31,Primary control Auction 00:00 bis 04:00,60
PRL_23_01_31,Primary control Auction 04:00 bis 08:00,98
PRL_23_01_31,Primary control Auction 08:00 bis 12:00,123
PRL_23_01_31,Primary control Auction 12:00 bis 16:00,99
PRL_23_01_31,Primary control Auction 16:00 bis 20:00,122
PRL_23_01_31,Primary control Auction 20:00 bis 24:00,91
PRL_23_02_01,Primary control Auction 00:00 bis 04:00,51
PRL_23_02_01,Primary control Auction 04:00 bis 08:00,95
PRL_23_02_01,Primary control Auction 08:00 bis 12:00,65
PRL_23_02_01,Primary control Auction 12:00 bis 16:00,71
