Ausschreibung,Preis
PRL_30_01_01_1,22.579034336510905
PRL_30_01_01_2,20.533546905328734
PRL_30_01_01_3,13.531686083205141
PRL_30_01_01_4,15.262483140359286
PRL_30_01_01_5,14.239739424768203
PRL_30_01_01_6,15.726651442050626
PRL_30_01_02_1,18.48805947414656
PRL_30_01_02_2,19.274785409216626
PRL_30_01_02_3,13.185526671774314
PRL_30_01_02_4,11.643543839036983
PRL_30_01_02_5,11.800889026050996
PRL_30_01_02_6,11.218711834099146
PRL_30_01_03_1,18.566732067653568
PRL_30_01_03_2,17.245032496735856
PRL_30_01_03_3,11.092835684487936
PRL_30_01_03_4,11.800889026050996
PRL_30_01_03_5,13.25633200593062
PRL_30_01_03_6,10.935490497473923
PRL_30_01_04_1,26.67000919887525
PRL_30_01_04_2,21.162927653384784
PRL_30_01_04_3,11.045632128383732
PRL_30_01_04_4,10.620800123445896
PRL_30_01_04_5,11.01416309098093
PRL_30_01_04_6,9.755401594868824
PRL_30_01_05_1,16.009872778675852
PRL_30_01_05_2,12.823632741642083
PRL_30_01_05_3,9.84194144772653
PRL_30_01_05_4,8.41796750524971
PRL_30_01_05_5,10.699472716952902
PRL_30_01_05_6,7.94593194420767
PRL_30_01_06_1,13.689031270219154
PRL_30_01_06_2,11.02203035033163
PRL_30_01_06_3,7.552568976672637
PRL_30_01_06_4,7.151338749786904
PRL_30_01_06_5,8.087542612520283
PRL_30_01_06_6,7.395223789658624
PRL_30_01_07_1,10.809614347862713
PRL_30_01_07_2,11.407526058515963
PRL_30_01_07_3,7.646976088881046
PRL_30_01_07_4,6.710772226147665
PRL_30_01_07_5,8.559578173562324
PRL_30_01_07_6,7.001860822123591
PRL_30_01_08_1,9.897012263181436
PRL_30_01_08_2,13.216995709177116
PRL_30_01_08_3,7.961666462909071
PRL_30_01_08_4,7.285082158748814
PRL_30_01_08_5,7.867259350700664
PRL_30_01_08_6,6.7658430416025706
PRL_30_01_09_1,7.961666462909071
PRL_30_01_09_2,9.086684550059267
PRL_30_01_09_3,7.135604231085503
PRL_30_01_09_4,6.529825261081552
PRL_30_01_09_5,10.40838412097698
PRL_30_01_09_6,6.687170448095564
PRL_30_01_10_1,7.277214899398114
PRL_30_01_10_2,10.746676273057107
PRL_30_01_10_3,10.919755978772523
PRL_30_01_10_4,7.57617075472474
PRL_30_01_10_5,11.171508277994942
PRL_30_01_10_6,5.727364807310083
PRL_30_01_11_1,6.451152667574544
PRL_30_01_11_2,7.23787860264461
PRL_30_01_11_3,6.907453709915182
PRL_30_01_11_4,5.507081545490465
PRL_30_01_11_5,10.856817903966917
PRL_30_01_11_6,5.349736358476451
PRL_30_01_12_1,5.271063764969445
PRL_30_01_12_2,6.529825261081552
PRL_30_01_12_3,7.796454016544358
PRL_30_01_12_4,5.0822495405526285
PRL_30_01_12_5,10.6758709389008
PRL_30_01_12_6,5.035045984448425
PRL_30_01_13_1,8.221286021482193
PRL_30_01_13_2,8.66971980447213
PRL_30_01_13_3,6.946790006668686
PRL_30_01_13_4,7.875126610051364
PRL_30_01_13_5,6.7501085229011695
PRL_30_01_13_6,6.7579757822518705
PRL_30_01_14_1,5.7981701414663895
PRL_30_01_14_2,6.230869405754926
PRL_30_01_14_3,7.0805334156305975
PRL_30_01_14_4,5.349736358476451
PRL_30_01_14_5,6.230869405754926
PRL_30_01_14_6,6.034187921987409
PRL_30_01_15_1,7.159206009137604
PRL_30_01_15_2,6.490488964328048
PRL_30_01_15_3,6.301674739911231
PRL_30_01_15_4,5.33400183977505
PRL_30_01_15_5,7.379489270957223
PRL_30_01_15_6,5.341869099125751
PRL_30_01_16_1,6.931055487967285
PRL_30_01_16_2,6.844515635109577
PRL_30_01_16_3,7.206409565241808
PRL_30_01_16_4,5.727364807310083
PRL_30_01_16_5,8.150480687325887
PRL_30_01_16_6,4.85409901938231
PRL_30_01_17_1,5.711630288608681
PRL_30_01_17_2,7.843657572648563
PRL_30_01_17_3,6.742241263550469
PRL_30_01_17_4,5.09798405925403
PRL_30_01_17_5,8.75625965732984
PRL_30_01_17_6,4.712488351069698
PRL_30_01_18_1,5.373338136528553
PRL_30_01_18_2,6.002718884584606
PRL_30_01_18_3,6.262338443157728
PRL_30_01_18_4,4.468603311197977
PRL_30_01_18_5,9.4800475175943
PRL_30_01_18_6,4.830497241330208
PRL_30_01_19_1,5.916179031726899
PRL_30_01_19_2,7.473896383165631
PRL_30_01_19_3,7.867259350700664
PRL_30_01_19_4,4.877700797434412
PRL_30_01_19_5,9.031613734604363
PRL_30_01_19_6,4.728222869771098
PRL_30_01_20_1,6.293807480560531
PRL_30_01_20_2,6.112860515494416
PRL_30_01_20_3,5.1137185779554315
PRL_30_01_20_4,4.987842428344221
PRL_30_01_20_5,5.160922134059635
PRL_30_01_20_6,5.475612508087662
PRL_30_01_21_1,7.804321275895059
PRL_30_01_21_2,7.639108829530345
PRL_30_01_21_3,7.4266928270614265
PRL_30_01_21_4,6.27807296185913
PRL_30_01_21_5,6.702904966796965
PRL_30_01_21_6,5.837506438219893
PRL_30_01_22_1,7.82792305394716
PRL_30_01_22_2,7.94593194420767
PRL_30_01_22_3,7.4109583083600254
PRL_30_01_22_4,6.325276517963333
PRL_30_01_22_5,8.54384365486092
PRL_30_01_22_6,6.175798590300021
PRL_30_01_23_1,9.83407418837583
PRL_30_01_23_2,10.40838412097698
PRL_30_01_23_3,7.4109583083600254
PRL_30_01_23_4,7.072666156279897
PRL_30_01_23_5,7.725648682388052
PRL_30_01_23_6,7.308683936800916
PRL_30_01_30_1,11.73795095124539
PRL_30_01_30_2,10.605065604744496
PRL_30_01_30_3,7.780719497842957
PRL_30_01_30_4,7.4188255677107255
PRL_30_01_30_5,9.086684550059267
PRL_30_01_30_6,7.867259350700664
PRL_30_01_25_1,16.97754567881203
PRL_30_01_25_2,12.902305335149087
PRL_30_01_25_3,6.301674739911231
PRL_30_01_25_4,6.270205702508429
PRL_30_01_25_5,8.126878909273787
PRL_30_01_25_6,5.971249847181804
PRL_30_01_26_1,11.60420754228348
PRL_30_01_26_2,9.582321889153409
PRL_30_01_26_3,6.970391784720788
PRL_30_01_26_4,6.7894448196546735
PRL_30_01_26_5,9.086684550059267
PRL_30_01_26_6,6.915320969265883
PRL_30_01_27_1,10.644401901497998
PRL_30_01_27_2,9.299100552528184
PRL_30_01_27_3,8.65398528577073
PRL_30_01_27_4,6.907453709915182
PRL_30_01_27_5,6.7894448196546735
PRL_30_01_27_6,6.687170448095564
PRL_30_01_28_1,9.535118333049203
PRL_30_01_28_2,7.953799203558371
PRL_30_01_28_3,7.0884006749812976
PRL_30_01_28_4,9.220427959021178
PRL_30_01_28_5,7.646976088881046
PRL_30_01_28_6,6.325276517963333
PRL_30_01_29_1,8.07967535316958
PRL_30_01_29_2,9.440711220840797
PRL_30_01_29_3,6.104993256143715
PRL_30_01_29_4,5.7667011040635865
PRL_30_01_29_5,7.473896383165631
PRL_30_01_29_6,4.830497241330208
PRL_30_01_30_1,7.017595340824992
PRL_30_01_30_2,7.717781423037351
PRL_30_01_30_3,6.608497854588558
PRL_30_01_30_4,5.861108216271995
PRL_30_01_30_5,7.93806468485697
PRL_30_01_30_6,4.720355610420398
PRL_30_01_31_1,6.490488964328048
PRL_30_01_31_2,7.0805334156305975
PRL_30_01_31_3,6.262338443157728
PRL_30_01_31_4,6.042055181338109
PRL_30_01_31_5,5.310400061722948
PRL_30_01_31_6,5.153054874708935
PRL_30_02_01_1,6.230869405754926
PRL_30_02_01_2,6.632099632640659
PRL_30_02_01_3,5.57001962029607
PRL_30_02_01_4,5.286798283670846
PRL_30_02_01_5,5.1137185779554315
PRL_30_02_01_6,5.184523912111738
PRL_30_02_02_1,5.900444513025498
PRL_30_02_02_2,8.05607357511748
PRL_30_02_02_3,6.451152667574544
PRL_30_02_02_4,5.861108216271995
PRL_30_02_02_5,5.011444206396323
PRL_30_02_02_6,5.20812569016384
PRL_30_02_03_1,15.333288474515593
PRL_30_02_03_2,16.694324342186807
PRL_30_02_03_3,11.01416309098093
PRL_30_02_03_4,14.751111282563745
PRL_30_02_03_5,9.802605150973028
PRL_30_02_03_6,11.01416309098093
PRL_30_02_04_1,12.68202207332947
PRL_30_02_04_2,11.092835684487936
PRL_30_02_04_3,7.214276824592509
PRL_30_02_04_4,8.65398528577073
PRL_30_02_04_5,7.473896383165631
PRL_30_02_04_6,6.687170448095564
PRL_30_02_05_1,11.13217198124144
PRL_30_02_05_2,10.856817903966917
PRL_30_02_05_3,7.473896383165631
PRL_30_02_05_4,7.615507051478242
PRL_30_02_05_5,7.473896383165631
PRL_30_02_05_6,6.671435929394163
PRL_30_02_06_1,11.01416309098093
PRL_30_02_06_2,11.092835684487936
PRL_30_02_06_3,7.552568976672637
PRL_30_02_06_4,7.0805334156305975
PRL_30_02_06_5,7.930197425506269
PRL_30_02_06_6,6.317409258612632
PRL_30_02_07_1,10.943357756824623
PRL_30_02_07_2,10.581463826692392
PRL_30_02_07_3,5.585754138997471
PRL_30_02_07_4,6.293807480560531
PRL_30_02_07_5,7.552568976672637
PRL_30_02_07_6,5.129453096656833
PRL_30_02_08_1,6.293807480560531
PRL_30_02_08_2,7.631241570179643
PRL_30_02_08_3,5.900444513025498
PRL_30_02_08_4,4.326992642885365
PRL_30_02_08_5,5.971249847181804
PRL_30_02_08_6,5.743099326011484
PRL_30_02_09_1,7.867259350700664
PRL_30_02_09_2,7.82005579459646
PRL_30_02_09_3,5.507081545490465
PRL_30_02_09_4,5.4362762113341585
PRL_30_02_09_5,6.600630595237857
PRL_30_02_09_6,5.1137185779554315
PRL_30_02_10_1,7.041197118877093
PRL_30_02_10_2,7.0805334156305975
PRL_30_02_10_3,4.917037094187915
PRL_30_02_10_4,5.271063764969445
PRL_30_02_10_5,5.507081545490465
PRL_30_02_10_6,4.547275904704984
PRL_30_02_11_1,7.489630901867032
PRL_30_02_11_2,6.820913857057476
PRL_30_02_11_3,5.743099326011484
PRL_30_02_11_4,4.917037094187915
PRL_30_02_11_5,6.262338443157728
PRL_30_02_11_6,4.169647455871352
PRL_30_02_12_1,7.1120024530334
PRL_30_02_12_2,6.978259044071488
PRL_30_02_12_3,5.035045984448425
PRL_30_02_12_4,4.539408645354283
PRL_30_02_12_5,6.883851931863081
PRL_30_02_12_6,4.012302268857338
PRL_30_02_13_1,6.545559779782953
PRL_30_02_13_2,7.167073268488305
PRL_30_02_13_3,5.837506438219893
PRL_30_02_13_4,5.900444513025498
PRL_30_02_13_5,7.473896383165631
PRL_30_02_13_6,3.8706916005447267
PRL_30_02_14_1,5.900444513025498
PRL_30_02_14_2,6.073524218740912
PRL_30_02_14_3,5.223860208865241
PRL_30_02_14_4,4.26405456807976
PRL_30_02_14_5,5.758833844712886
PRL_30_02_14_6,3.7605499696349174
PRL_30_02_15_1,5.349736358476451
PRL_30_02_15_2,4.326992642885365
PRL_30_02_15_3,3.642541079374407
PRL_30_02_15_4,5.695895769907281
PRL_30_02_15_5,3.618939301322305
PRL_30_02_15_6,3.618939301322305
PRL_30_02_16_1,4.846231760031609
PRL_30_02_16_2,5.035045984448425
PRL_30_02_16_3,4.4292670144444735
PRL_30_02_16_4,3.642541079374407
PRL_30_02_16_5,5.4598779893862615
PRL_30_02_16_6,3.618939301322305
PRL_30_02_17_1,4.822629981979507
PRL_30_02_17_2,4.405665236392371
PRL_30_02_17_3,3.7605499696349174
PRL_30_02_17_4,4.1303111591178485
PRL_30_02_17_5,3.957231453402434
PRL_30_02_17_6,3.4065232988533873
PRL_30_02_18_1,4.720355610420398
PRL_30_02_18_2,4.917037094187915
PRL_30_02_18_3,5.7667011040635865
PRL_30_02_18_4,6.923188228616585
PRL_30_02_18_5,4.594479460809188
PRL_30_02_18_6,3.618939301322305
PRL_30_02_19_1,4.917037094187915
PRL_30_02_19_2,4.720355610420398
PRL_30_02_19_3,4.594479460809188
PRL_30_02_19_4,4.987842428344221
PRL_30_02_19_5,6.215134887053525
PRL_30_02_19_6,3.7605499696349174
PRL_30_02_20_1,5.80603740081709
PRL_30_02_20_2,5.349736358476451
PRL_30_02_20_3,5.585754138997471
PRL_30_02_20_4,6.451152667574544
PRL_30_02_20_5,6.679303188744864
PRL_30_02_20_6,3.7605499696349174
PRL_30_02_21_1,8.63825076706933
PRL_30_02_21_2,7.127736971734802
PRL_30_02_21_3,5.7745683634142875
PRL_30_02_21_4,5.979117106532504
PRL_30_02_21_5,6.333143777314035
PRL_30_02_21_6,4.515806867302182
PRL_30_02_22_1,7.646976088881046
PRL_30_02_22_2,7.623374310828943
PRL_30_02_22_3,4.720355610420398
PRL_30_02_22_4,6.364612814716837
PRL_30_02_22_5,6.891719191213781
PRL_30_02_22_6,8.77199417603124
PRL_30_02_23_1,10.935490497473923
PRL_30_02_23_2,13.004579706708197
PRL_30_02_23_3,6.293807480560531
PRL_30_02_23_4,7.969533722259773
PRL_30_02_23_5,6.7737103009532715
PRL_30_02_23_6,6.293807480560531
PRL_30_02_30_1,9.322702330580286
PRL_30_02_30_2,9.660994482660415
PRL_30_02_30_3,6.4275508895224425
PRL_30_02_30_4,8.197684243430091
PRL_30_02_30_5,5.821771919518492
PRL_30_02_30_6,6.293807480560531
PRL_30_02_25_1,8.811330472784743
PRL_30_02_25_2,6.781577560303972
