Ausschreibung;Beschreibung;Angebotenes Volumen;Einheit;Zugesprochenes Volumen;Einheit;Leistungspreis;Einheit;Kosten;Einheit;Preis;Einheit
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4045.44;EUR/MW;8090.88;EUR;24.08;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4065.6;EUR/MW;8131.2;EUR;24.2;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4084.08;EUR/MW;8168.16;EUR;24.31;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4104.24;EUR/MW;8208.48;EUR;24.43;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4124.4;EUR/MW;8248.8;EUR;24.55;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4144.56;EUR/MW;8289.12;EUR;24.67;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4164.72;EUR/MW;8329.44;EUR;24.79;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4184.88;EUR/MW;8369.76;EUR;24.91;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4203.36;EUR/MW;8406.72;EUR;25.02;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4223.52;EUR/MW;8447.04;EUR;25.14;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4243.68;EUR/MW;8487.36;EUR;25.26;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4263.84;EUR/MW;8527.68;EUR;25.38;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4273.92;EUR/MW;8547.84;EUR;25.44;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4292.4;EUR/MW;8584.8;EUR;25.55;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4310.88;EUR/MW;8621.76;EUR;25.66;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4327.68;EUR/MW;8655.36;EUR;25.76;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4346.16;EUR/MW;8692.32;EUR;25.87;EUR/MWh*
PRL_15_KW15;Primary control Auction;3;MW;3;MW;4357.92;EUR/MW;13073.76;EUR;25.94;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4368;EUR/MW;8736;EUR;26;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4378.08;EUR/MW;8756.16;EUR;26.06;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4389.84;EUR/MW;8779.68;EUR;26.13;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4399.92;EUR/MW;8799.84;EUR;26.19;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4410;EUR/MW;8820;EUR;26.25;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4420.08;EUR/MW;8840.16;EUR;26.31;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4430.16;EUR/MW;8860.32;EUR;26.37;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4440.24;EUR/MW;8880.48;EUR;26.43;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4452;EUR/MW;8904;EUR;26.5;EUR/MWh*
PRL_15_KW15;Primary control Auction;2;MW;2;MW;4462.08;EUR/MW;8924.16;EUR;26.56;EUR/MWh*
