Ausschreibung,Beschreibung,Total_MW
PRL_24_03_15,Primary control Auction 12:00 bis 16:00,50
PRL_24_03_15,Primary control Auction 16:00 bis 20:00,43
PRL_24_03_15,Primary control Auction 20:00 bis 24:00,25
PRL_24_03_16,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_16,Primary control Auction 04:00 bis 08:00,33
PRL_24_03_16,Primary control Auction 08:00 bis 12:00,32
PRL_24_03_16,Primary control Auction 12:00 bis 16:00,32
PRL_24_03_16,Primary control Auction 16:00 bis 20:00,50
PRL_24_03_16,Primary control Auction 20:00 bis 24:00,28
PRL_24_03_17,Primary control Auction 00:00 bis 04:00,40
PRL_24_03_17,Primary control Auction 04:00 bis 08:00,40
PRL_24_03_17,Primary control Auction 08:00 bis 12:00,33
PRL_24_03_17,Primary control Auction 12:00 bis 16:00,32
PRL_24_03_17,Primary control Auction 16:00 bis 20:00,46
PRL_24_03_17,Primary control Auction 20:00 bis 24:00,43
PRL_24_03_18,Primary control Auction 00:00 bis 04:00,36
PRL_24_03_18,Primary control Auction 04:00 bis 08:00,37
PRL_24_03_18,Primary control Auction 08:00 bis 12:00,73
PRL_24_03_18,Primary control Auction 12:00 bis 16:00,66
PRL_24_03_18,Primary control Auction 16:00 bis 20:00,55
PRL_24_03_18,Primary control Auction 20:00 bis 24:00,38
PRL_24_03_19,Primary control Auction 00:00 bis 04:00,34
PRL_24_03_19,Primary control Auction 04:00 bis 08:00,34
PRL_24_03_19,Primary control Auction 08:00 bis 12:00,70
PRL_24_03_19,Primary control Auction 12:00 bis 16:00,68
PRL_24_03_19,Primary control Auction 16:00 bis 20:00,70
PRL_24_03_19,Primary control Auction 20:00 bis 24:00,47
PRL_24_03_20,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_20,Primary control Auction 04:00 bis 08:00,39
PRL_24_03_20,Primary control Auction 08:00 bis 12:00,59
PRL_24_03_20,Primary control Auction 12:00 bis 16:00,81
PRL_24_03_20,Primary control Auction 16:00 bis 20:00,45
PRL_24_03_20,Primary control Auction 20:00 bis 24:00,49
PRL_24_03_21,Primary control Auction 00:00 bis 04:00,34
PRL_24_03_21,Primary control Auction 04:00 bis 08:00,35
PRL_24_03_21,Primary control Auction 08:00 bis 12:00,63
PRL_24_03_21,Primary control Auction 12:00 bis 16:00,34
PRL_24_03_21,Primary control Auction 16:00 bis 20:00,45
PRL_24_03_21,Primary control Auction 20:00 bis 24:00,48
PRL_24_03_22,Primary control Auction 00:00 bis 04:00,32
PRL_24_03_22,Primary control Auction 04:00 bis 08:00,38
PRL_24_03_22,Primary control Auction 08:00 bis 12:00,54
PRL_24_03_22,Primary control Auction 12:00 bis 16:00,33
PRL_24_03_22,Primary control Auction 16:00 bis 20:00,98
PRL_24_03_22,Primary control Auction 20:00 bis 24:00,45
PRL_24_03_23,Primary control Auction 00:00 bis 04:00,29
PRL_24_03_23,Primary control Auction 04:00 bis 08:00,32
PRL_24_03_23,Primary control Auction 08:00 bis 12:00,39
PRL_24_03_23,Primary control Auction 12:00 bis 16:00,35
PRL_24_03_23,Primary control Auction 16:00 bis 20:00,94
PRL_24_03_23,Primary control Auction 20:00 bis 24:00,42
PRL_24_03_24,Primary control Auction 00:00 bis 04:00,34
PRL_24_03_24,Primary control Auction 04:00 bis 08:00,36
PRL_24_03_24,Primary control Auction 08:00 bis 12:00,37
PRL_24_03_24,Primary control Auction 12:00 bis 16:00,37
PRL_24_03_24,Primary control Auction 16:00 bis 20:00,55
PRL_24_03_24,Primary control Auction 20:00 bis 24:00,38
PRL_24_03_25,Primary control Auction 00:00 bis 04:00,53
PRL_24_03_25,Primary control Auction 04:00 bis 08:00,41
PRL_24_03_25,Primary control Auction 08:00 bis 12:00,61
PRL_24_03_25,Primary control Auction 12:00 bis 16:00,53
PRL_24_03_25,Primary control Auction 16:00 bis 20:00,47
PRL_24_03_25,Primary control Auction 20:00 bis 24:00,40
PRL_24_03_26,Primary control Auction 00:00 bis 04:00,34
PRL_24_03_26,Primary control Auction 04:00 bis 08:00,41
PRL_24_03_26,Primary control Auction 08:00 bis 12:00,64
PRL_24_03_26,Primary control Auction 12:00 bis 16:00,39
PRL_24_03_26,Primary control Auction 16:00 bis 20:00,74
PRL_24_03_26,Primary control Auction 20:00 bis 24:00,60
PRL_24_03_27,Primary control Auction 00:00 bis 04:00,42
PRL_24_03_27,Primary control Auction 04:00 bis 08:00,47
PRL_24_03_27,Primary control Auction 08:00 bis 12:00,68
PRL_24_03_27,Primary control Auction 12:00 bis 16:00,55
PRL_24_03_27,Primary control Auction 16:00 bis 20:00,72
PRL_24_03_27,Primary control Auction 20:00 bis 24:00,35
PRL_24_03_28,Primary control Auction 00:00 bis 04:00,31
PRL_24_03_28,Primary control Auction 04:00 bis 08:00,32
PRL_24_03_28,Primary control Auction 08:00 bis 12:00,86
PRL_24_03_28,Primary control Auction 12:00 bis 16:00,52
PRL_24_03_28,Primary control Auction 16:00 bis 20:00,86
PRL_24_03_28,Primary control Auction 20:00 bis 24:00,34
PRL_24_03_29,Primary control Auction 00:00 bis 04:00,30
PRL_24_03_29,Primary control Auction 04:00 bis 08:00,29
PRL_24_03_29,Primary control Auction 08:00 bis 12:00,45
PRL_24_03_29,Primary control Auction 12:00 bis 16:00,52
PRL_24_03_29,Primary control Auction 16:00 bis 20:00,63
PRL_24_03_29,Primary control Auction 20:00 bis 24:00,32
PRL_24_03_30,Primary control Auction 00:00 bis 04:00,40
PRL_24_03_30,Primary control Auction 04:00 bis 08:00,37
PRL_24_03_30,Primary control Auction 08:00 bis 12:00,48
PRL_24_03_30,Primary control Auction 12:00 bis 16:00,34
PRL_24_03_30,Primary control Auction 16:00 bis 20:00,45
PRL_24_03_30,Primary control Auction 20:00 bis 24:00,40
PRL_24_03_31,Primary control Auction 00:00 bis 04:00,30
PRL_24_03_31,Primary control Auction 04:00 bis 08:00,29
PRL_24_03_31,Primary control Auction 08:00 bis 12:00,31
PRL_24_03_31,Primary control Auction 12:00 bis 16:00,23
PRL_24_03_31,Primary control Auction 16:00 bis 20:00,23
PRL_24_03_31,Primary control Auction 20:00 bis 24:00,33
PRL_24_04_01,Primary control Auction 00:00 bis 04:00,36
PRL_24_04_01,Primary control Auction 04:00 bis 08:00,36
PRL_24_04_01,Primary control Auction 08:00 bis 12:00,42
PRL_24_04_01,Primary control Auction 12:00 bis 16:00,40
PRL_24_04_01,Primary control Auction 16:00 bis 20:00,45
PRL_24_04_01,Primary control Auction 20:00 bis 24:00,43
PRL_24_04_02,Primary control Auction 00:00 bis 04:00,35
PRL_24_04_02,Primary control Auction 04:00 bis 08:00,37
PRL_24_04_02,Primary control Auction 08:00 bis 12:00,43
PRL_24_04_02,Primary control Auction 12:00 bis 16:00,68
PRL_24_04_02,Primary control Auction 16:00 bis 20:00,49
PRL_24_04_02,Primary control Auction 20:00 bis 24:00,34
PRL_24_04_03,Primary control Auction 00:00 bis 04:00,42
PRL_24_04_03,Primary control Auction 04:00 bis 08:00,46
PRL_24_04_03,Primary control Auction 08:00 bis 12:00,62
PRL_24_04_03,Primary control Auction 12:00 bis 16:00,68
PRL_24_04_03,Primary control Auction 16:00 bis 20:00,84
PRL_24_04_03,Primary control Auction 20:00 bis 24:00,33
PRL_24_04_04,Primary control Auction 00:00 bis 04:00,41
PRL_24_04_04,Primary control Auction 04:00 bis 08:00,42
PRL_24_04_04,Primary control Auction 08:00 bis 12:00,74
PRL_24_04_04,Primary control Auction 12:00 bis 16:00,89
PRL_24_04_04,Primary control Auction 16:00 bis 20:00,70
PRL_24_04_04,Primary control Auction 20:00 bis 24:00,36
PRL_24_04_05,Primary control Auction 00:00 bis 04:00,30
PRL_24_04_05,Primary control Auction 04:00 bis 08:00,23
PRL_24_04_05,Primary control Auction 08:00 bis 12:00,31
PRL_24_04_05,Primary control Auction 12:00 bis 16:00,37
PRL_24_04_05,Primary control Auction 16:00 bis 20:00,39
PRL_24_04_05,Primary control Auction 20:00 bis 24:00,37
PRL_24_04_06,Primary control Auction 00:00 bis 04:00,35
PRL_24_04_06,Primary control Auction 04:00 bis 08:00,37
PRL_24_04_06,Primary control Auction 08:00 bis 12:00,42
PRL_24_04_06,Primary control Auction 12:00 bis 16:00,42
PRL_24_04_06,Primary control Auction 16:00 bis 20:00,44
PRL_24_04_06,Primary control Auction 20:00 bis 24:00,32
PRL_24_04_07,Primary control Auction 00:00 bis 04:00,34
PRL_24_04_07,Primary control Auction 04:00 bis 08:00,33
PRL_24_04_07,Primary control Auction 08:00 bis 12:00,36
PRL_24_04_07,Primary control Auction 12:00 bis 16:00,39
PRL_24_04_07,Primary control Auction 16:00 bis 20:00,37
PRL_24_04_07,Primary control Auction 20:00 bis 24:00,49
PRL_24_04_08,Primary control Auction 00:00 bis 04:00,63
PRL_24_04_08,Primary control Auction 04:00 bis 08:00,53
PRL_24_04_08,Primary control Auction 08:00 bis 12:00,49
PRL_24_04_08,Primary control Auction 12:00 bis 16:00,59
PRL_24_04_08,Primary control Auction 16:00 bis 20:00,68
PRL_24_04_08,Primary control Auction 20:00 bis 24:00,49
PRL_24_04_09,Primary control Auction 00:00 bis 04:00,67
PRL_24_04_09,Primary control Auction 04:00 bis 08:00,54
PRL_24_04_09,Primary control Auction 08:00 bis 12:00,70
PRL_24_04_09,Primary control Auction 12:00 bis 16:00,77
PRL_24_04_09,Primary control Auction 16:00 bis 20:00,60
PRL_24_04_09,Primary control Auction 20:00 bis 24:00,59
PRL_24_04_10,Primary control Auction 00:00 bis 04:00,71
PRL_24_04_10,Primary control Auction 04:00 bis 08:00,62
PRL_24_04_10,Primary control Auction 08:00 bis 12:00,67
PRL_24_04_10,Primary control Auction 12:00 bis 16:00,69
PRL_24_04_10,Primary control Auction 16:00 bis 20:00,72
PRL_24_04_10,Primary control Auction 20:00 bis 24:00,78
PRL_24_04_11,Primary control Auction 00:00 bis 04:00,72
PRL_24_04_11,Primary control Auction 04:00 bis 08:00,65
PRL_24_04_11,Primary control Auction 08:00 bis 12:00,104
PRL_24_04_11,Primary control Auction 12:00 bis 16:00,83
PRL_24_04_11,Primary control Auction 16:00 bis 20:00,141
PRL_24_04_11,Primary control Auction 20:00 bis 24:00,115
PRL_24_04_12,Primary control Auction 00:00 bis 04:00,51
PRL_24_04_12,Primary control Auction 04:00 bis 08:00,68
PRL_24_04_12,Primary control Auction 08:00 bis 12:00,95
PRL_24_04_12,Primary control Auction 12:00 bis 16:00,80
PRL_24_04_12,Primary control Auction 16:00 bis 20:00,88
PRL_24_04_12,Primary control Auction 20:00 bis 24:00,98
PRL_24_04_13,Primary control Auction 00:00 bis 04:00,45
PRL_24_04_13,Primary control Auction 04:00 bis 08:00,44
PRL_24_04_13,Primary control Auction 08:00 bis 12:00,50
PRL_24_04_13,Primary control Auction 12:00 bis 16:00,45
PRL_24_04_13,Primary control Auction 16:00 bis 20:00,43
PRL_24_04_13,Primary control Auction 20:00 bis 24:00,46
PRL_24_04_14,Primary control Auction 00:00 bis 04:00,54
PRL_24_04_14,Primary control Auction 04:00 bis 08:00,57
PRL_24_04_14,Primary control Auction 08:00 bis 12:00,55
PRL_24_04_14,Primary control Auction 12:00 bis 16:00,61
PRL_24_04_14,Primary control Auction 16:00 bis 20:00,52
PRL_24_04_14,Primary control Auction 20:00 bis 24:00,50
PRL_24_04_15,Primary control Auction 00:00 bis 04:00,53
PRL_24_04_15,Primary control Auction 04:00 bis 08:00,56
PRL_24_04_15,Primary control Auction 08:00 bis 12:00,60
PRL_24_04_15,Primary control Auction 12:00 bis 16:00,65
PRL_24_04_15,Primary control Auction 16:00 bis 20:00,60
PRL_24_04_15,Primary control Auction 20:00 bis 24:00,59
PRL_24_04_16,Primary control Auction 00:00 bis 04:00,60
PRL_24_04_16,Primary control Auction 04:00 bis 08:00,65
PRL_24_04_16,Primary control Auction 08:00 bis 12:00,65
PRL_24_04_16,Primary control Auction 12:00 bis 16:00,64
PRL_24_04_16,Primary control Auction 16:00 bis 20:00,64
PRL_24_04_16,Primary control Auction 20:00 bis 24:00,80
PRL_24_04_17,Primary control Auction 00:00 bis 04:00,55
PRL_24_04_17,Primary control Auction 04:00 bis 08:00,104
PRL_24_04_17,Primary control Auction 08:00 bis 12:00,89
PRL_24_04_17,Primary control Auction 12:00 bis 16:00,47
PRL_24_04_17,Primary control Auction 16:00 bis 20:00,64
PRL_24_04_17,Primary control Auction 20:00 bis 24:00,85
PRL_24_04_18,Primary control Auction 00:00 bis 04:00,74
PRL_24_04_18,Primary control Auction 04:00 bis 08:00,82
PRL_24_04_18,Primary control Auction 08:00 bis 12:00,130
PRL_24_04_18,Primary control Auction 12:00 bis 16:00,116
PRL_24_04_18,Primary control Auction 16:00 bis 20:00,103
PRL_24_04_18,Primary control Auction 20:00 bis 24:00,93
PRL_24_04_19,Primary control Auction 00:00 bis 04:00,77
PRL_24_04_19,Primary control Auction 04:00 bis 08:00,80
PRL_24_04_19,Primary control Auction 08:00 bis 12:00,75
PRL_24_04_19,Primary control Auction 12:00 bis 16:00,60
PRL_24_04_19,Primary control Auction 16:00 bis 20:00,70
PRL_24_04_19,Primary control Auction 20:00 bis 24:00,85
PRL_24_04_20,Primary control Auction 00:00 bis 04:00,68
PRL_24_04_20,Primary control Auction 04:00 bis 08:00,71
PRL_24_04_20,Primary control Auction 08:00 bis 12:00,68
PRL_24_04_20,Primary control Auction 12:00 bis 16:00,47
PRL_24_04_20,Primary control Auction 16:00 bis 20:00,80
PRL_24_04_20,Primary control Auction 20:00 bis 24:00,162
PRL_24_04_21,Primary control Auction 00:00 bis 04:00,67
PRL_24_04_21,Primary control Auction 04:00 bis 08:00,65
PRL_24_04_21,Primary control Auction 08:00 bis 12:00,61
PRL_24_04_21,Primary control Auction 12:00 bis 16:00,47
PRL_24_04_21,Primary control Auction 16:00 bis 20:00,54
PRL_24_04_21,Primary control Auction 20:00 bis 24:00,128
PRL_24_04_22,Primary control Auction 00:00 bis 04:00,46
PRL_24_04_22,Primary control Auction 04:00 bis 08:00,62
PRL_24_04_22,Primary control Auction 08:00 bis 12:00,55
PRL_24_04_22,Primary control Auction 12:00 bis 16:00,54
PRL_24_04_22,Primary control Auction 16:00 bis 20:00,96
PRL_24_04_22,Primary control Auction 20:00 bis 24:00,137
PRL_24_04_23,Primary control Auction 00:00 bis 04:00,53
PRL_24_04_23,Primary control Auction 04:00 bis 08:00,79
PRL_24_04_23,Primary control Auction 08:00 bis 12:00,64
PRL_24_04_23,Primary control Auction 12:00 bis 16:00,63
PRL_24_04_23,Primary control Auction 16:00 bis 20:00,75
PRL_24_04_23,Primary control Auction 20:00 bis 24:00,76
PRL_24_04_24,Primary control Auction 00:00 bis 04:00,57
PRL_24_04_24,Primary control Auction 04:00 bis 08:00,59
PRL_24_04_24,Primary control Auction 08:00 bis 12:00,41
PRL_24_04_24,Primary control Auction 12:00 bis 16:00,37
PRL_24_04_24,Primary control Auction 16:00 bis 20:00,42
PRL_24_04_24,Primary control Auction 20:00 bis 24:00,59
PRL_24_04_25,Primary control Auction 00:00 bis 04:00,41
PRL_24_04_25,Primary control Auction 04:00 bis 08:00,72
PRL_24_04_25,Primary control Auction 08:00 bis 12:00,129
PRL_24_04_25,Primary control Auction 12:00 bis 16:00,37
PRL_24_04_25,Primary control Auction 16:00 bis 20:00,91
PRL_24_04_25,Primary control Auction 20:00 bis 24:00,72
PRL_24_04_26,Primary control Auction 00:00 bis 04:00,26
PRL_24_04_26,Primary control Auction 04:00 bis 08:00,41
PRL_24_04_26,Primary control Auction 08:00 bis 12:00,33
PRL_24_04_26,Primary control Auction 12:00 bis 16:00,36
PRL_24_04_26,Primary control Auction 16:00 bis 20:00,42
PRL_24_04_26,Primary control Auction 20:00 bis 24:00,42
PRL_24_04_27,Primary control Auction 00:00 bis 04:00,65
PRL_24_04_27,Primary control Auction 04:00 bis 08:00,50
PRL_24_04_27,Primary control Auction 08:00 bis 12:00,35
PRL_24_04_27,Primary control Auction 12:00 bis 16:00,32
PRL_24_04_27,Primary control Auction 16:00 bis 20:00,44
PRL_24_04_27,Primary control Auction 20:00 bis 24:00,40
PRL_24_04_28,Primary control Auction 00:00 bis 04:00,30
PRL_24_04_28,Primary control Auction 04:00 bis 08:00,27
PRL_24_04_28,Primary control Auction 08:00 bis 12:00,31
PRL_24_04_28,Primary control Auction 12:00 bis 16:00,34
PRL_24_04_28,Primary control Auction 16:00 bis 20:00,31
PRL_24_04_28,Primary control Auction 20:00 bis 24:00,33
PRL_24_04_29,Primary control Auction 00:00 bis 04:00,59
PRL_24_04_29,Primary control Auction 04:00 bis 08:00,115
PRL_24_04_29,Primary control Auction 08:00 bis 12:00,131
PRL_24_04_29,Primary control Auction 12:00 bis 16:00,94
PRL_24_04_29,Primary control Auction 16:00 bis 20:00,102
PRL_24_04_29,Primary control Auction 20:00 bis 24:00,107
PRL_24_04_30,Primary control Auction 00:00 bis 04:00,63
PRL_24_04_30,Primary control Auction 04:00 bis 08:00,140
PRL_24_04_30,Primary control Auction 08:00 bis 12:00,162
PRL_24_04_30,Primary control Auction 12:00 bis 16:00,143
PRL_24_04_30,Primary control Auction 16:00 bis 20:00,160
PRL_24_04_30,Primary control Auction 20:00 bis 24:00,152
PRL_24_05_01,Primary control Auction 00:00 bis 04:00,56
PRL_24_05_01,Primary control Auction 04:00 bis 08:00,56
PRL_24_05_01,Primary control Auction 08:00 bis 12:00,57
PRL_24_05_01,Primary control Auction 12:00 bis 16:00,67
PRL_24_05_01,Primary control Auction 16:00 bis 20:00,63
PRL_24_05_01,Primary control Auction 20:00 bis 24:00,56
PRL_24_05_02,Primary control Auction 00:00 bis 04:00,37
PRL_24_05_02,Primary control Auction 04:00 bis 08:00,43
PRL_24_05_02,Primary control Auction 08:00 bis 12:00,109
PRL_24_05_02,Primary control Auction 12:00 bis 16:00,110
PRL_24_05_02,Primary control Auction 16:00 bis 20:00,68
PRL_24_05_02,Primary control Auction 20:00 bis 24:00,41
PRL_24_05_03,Primary control Auction 00:00 bis 04:00,57
PRL_24_05_03,Primary control Auction 04:00 bis 08:00,78
PRL_24_05_03,Primary control Auction 08:00 bis 12:00,86
PRL_24_05_03,Primary control Auction 12:00 bis 16:00,61
PRL_24_05_03,Primary control Auction 16:00 bis 20:00,77
PRL_24_05_03,Primary control Auction 20:00 bis 24:00,111
PRL_24_05_04,Primary control Auction 00:00 bis 04:00,44
PRL_24_05_04,Primary control Auction 04:00 bis 08:00,46
PRL_24_05_04,Primary control Auction 08:00 bis 12:00,43
PRL_24_05_04,Primary control Auction 12:00 bis 16:00,58
PRL_24_05_04,Primary control Auction 16:00 bis 20:00,75
PRL_24_05_04,Primary control Auction 20:00 bis 24:00,99
PRL_24_05_05,Primary control Auction 00:00 bis 04:00,61
PRL_24_05_05,Primary control Auction 04:00 bis 08:00,69
PRL_24_05_05,Primary control Auction 08:00 bis 12:00,64
PRL_24_05_05,Primary control Auction 12:00 bis 16:00,65
PRL_24_05_05,Primary control Auction 16:00 bis 20:00,73
PRL_24_05_05,Primary control Auction 20:00 bis 24:00,87
PRL_24_05_06,Primary control Auction 00:00 bis 04:00,60
PRL_24_05_06,Primary control Auction 04:00 bis 08:00,72
PRL_24_05_06,Primary control Auction 08:00 bis 12:00,60
PRL_24_05_06,Primary control Auction 12:00 bis 16:00,51
PRL_24_05_06,Primary control Auction 16:00 bis 20:00,46
PRL_24_05_06,Primary control Auction 20:00 bis 24:00,52
PRL_24_05_07,Primary control Auction 00:00 bis 04:00,26
PRL_24_05_07,Primary control Auction 04:00 bis 08:00,32
PRL_24_05_07,Primary control Auction 08:00 bis 12:00,76
PRL_24_05_07,Primary control Auction 12:00 bis 16:00,55
PRL_24_05_07,Primary control Auction 16:00 bis 20:00,59
PRL_24_05_07,Primary control Auction 20:00 bis 24:00,39
PRL_24_05_08,Primary control Auction 00:00 bis 04:00,30
PRL_24_05_08,Primary control Auction 04:00 bis 08:00,54
PRL_24_05_08,Primary control Auction 08:00 bis 12:00,77
PRL_24_05_08,Primary control Auction 12:00 bis 16:00,40
PRL_24_05_08,Primary control Auction 16:00 bis 20:00,64
PRL_24_05_08,Primary control Auction 20:00 bis 24:00,88
PRL_24_05_09,Primary control Auction 00:00 bis 04:00,57
PRL_24_05_09,Primary control Auction 04:00 bis 08:00,79
PRL_24_05_09,Primary control Auction 08:00 bis 12:00,61
PRL_24_05_09,Primary control Auction 12:00 bis 16:00,59
PRL_24_05_09,Primary control Auction 16:00 bis 20:00,64
PRL_24_05_09,Primary control Auction 20:00 bis 24:00,139
PRL_24_05_10,Primary control Auction 00:00 bis 04:00,58
PRL_24_05_10,Primary control Auction 04:00 bis 08:00,96
PRL_24_05_10,Primary control Auction 08:00 bis 12:00,70
PRL_24_05_10,Primary control Auction 12:00 bis 16:00,68
PRL_24_05_10,Primary control Auction 16:00 bis 20:00,74
PRL_24_05_10,Primary control Auction 20:00 bis 24:00,105
PRL_24_05_11,Primary control Auction 00:00 bis 04:00,61
PRL_24_05_11,Primary control Auction 04:00 bis 08:00,59
PRL_24_05_11,Primary control Auction 08:00 bis 12:00,62
PRL_24_05_11,Primary control Auction 12:00 bis 16:00,64
PRL_24_05_11,Primary control Auction 16:00 bis 20:00,64
PRL_24_05_11,Primary control Auction 20:00 bis 24:00,69
PRL_24_05_12,Primary control Auction 00:00 bis 04:00,59
PRL_24_05_12,Primary control Auction 04:00 bis 08:00,61
PRL_24_05_12,Primary control Auction 08:00 bis 12:00,62
PRL_24_05_12,Primary control Auction 12:00 bis 16:00,86
PRL_24_05_12,Primary control Auction 16:00 bis 20:00,65
PRL_24_05_12,Primary control Auction 20:00 bis 24:00,75
PRL_24_05_13,Primary control Auction 00:00 bis 04:00,73
PRL_24_05_13,Primary control Auction 04:00 bis 08:00,78
PRL_24_05_13,Primary control Auction 08:00 bis 12:00,74
PRL_24_05_13,Primary control Auction 12:00 bis 16:00,73
PRL_24_05_13,Primary control Auction 16:00 bis 20:00,79
PRL_24_05_13,Primary control Auction 20:00 bis 24:00,97
PRL_24_05_14,Primary control Auction 00:00 bis 04:00,81
PRL_24_05_14,Primary control Auction 04:00 bis 08:00,81
PRL_24_05_14,Primary control Auction 08:00 bis 12:00,79
PRL_24_05_14,Primary control Auction 12:00 bis 16:00,81
PRL_24_05_14,Primary control Auction 16:00 bis 20:00,79
PRL_24_05_14,Primary control Auction 20:00 bis 24:00,81
PRL_24_05_15,Primary control Auction 00:00 bis 04:00,74
PRL_24_05_15,Primary control Auction 04:00 bis 08:00,75
PRL_24_05_15,Primary control Auction 08:00 bis 12:00,93
PRL_24_05_15,Primary control Auction 12:00 bis 16:00,79
PRL_24_05_15,Primary control Auction 16:00 bis 20:00,77
PRL_24_05_15,Primary control Auction 20:00 bis 24:00,75
PRL_24_05_16,Primary control Auction 00:00 bis 04:00,105
PRL_24_05_16,Primary control Auction 04:00 bis 08:00,105
PRL_24_05_16,Primary control Auction 08:00 bis 12:00,90
PRL_24_05_16,Primary control Auction 12:00 bis 16:00,112
PRL_24_05_16,Primary control Auction 16:00 bis 20:00,87
PRL_24_05_16,Primary control Auction 20:00 bis 24:00,97
PRL_24_05_17,Primary control Auction 00:00 bis 04:00,82
PRL_24_05_17,Primary control Auction 04:00 bis 08:00,88
PRL_24_05_17,Primary control Auction 08:00 bis 12:00,129
PRL_24_05_17,Primary control Auction 12:00 bis 16:00,93
PRL_24_05_17,Primary control Auction 16:00 bis 20:00,104
PRL_24_05_17,Primary control Auction 20:00 bis 24:00,130
PRL_24_05_18,Primary control Auction 00:00 bis 04:00,75
PRL_24_05_18,Primary control Auction 04:00 bis 08:00,91
PRL_24_05_18,Primary control Auction 08:00 bis 12:00,98
PRL_24_05_18,Primary control Auction 12:00 bis 16:00,91
PRL_24_05_18,Primary control Auction 16:00 bis 20:00,96
PRL_24_05_18,Primary control Auction 20:00 bis 24:00,121
PRL_24_05_19,Primary control Auction 00:00 bis 04:00,79
PRL_24_05_19,Primary control Auction 04:00 bis 08:00,79
PRL_24_05_19,Primary control Auction 08:00 bis 12:00,80
PRL_24_05_19,Primary control Auction 12:00 bis 16:00,75
PRL_24_05_19,Primary control Auction 16:00 bis 20:00,80
PRL_24_05_19,Primary control Auction 20:00 bis 24:00,96
PRL_24_05_20,Primary control Auction 00:00 bis 04:00,81
PRL_24_05_20,Primary control Auction 04:00 bis 08:00,84
PRL_24_05_20,Primary control Auction 08:00 bis 12:00,81
PRL_24_05_20,Primary control Auction 12:00 bis 16:00,84
PRL_24_05_20,Primary control Auction 16:00 bis 20:00,84
PRL_24_05_20,Primary control Auction 20:00 bis 24:00,109
PRL_24_05_21,Primary control Auction 00:00 bis 04:00,87
PRL_24_05_21,Primary control Auction 04:00 bis 08:00,84
PRL_24_05_21,Primary control Auction 08:00 bis 12:00,118
PRL_24_05_21,Primary control Auction 12:00 bis 16:00,138
PRL_24_05_21,Primary control Auction 16:00 bis 20:00,102
PRL_24_05_21,Primary control Auction 20:00 bis 24:00,135
PRL_24_05_22,Primary control Auction 00:00 bis 04:00,88
PRL_24_05_22,Primary control Auction 04:00 bis 08:00,95
PRL_24_05_22,Primary control Auction 08:00 bis 12:00,123
PRL_24_05_22,Primary control Auction 12:00 bis 16:00,128
PRL_24_05_22,Primary control Auction 16:00 bis 20:00,109
PRL_24_05_22,Primary control Auction 20:00 bis 24:00,155
PRL_24_05_23,Primary control Auction 00:00 bis 04:00,64
PRL_24_05_23,Primary control Auction 04:00 bis 08:00,92
PRL_24_05_23,Primary control Auction 08:00 bis 12:00,137
PRL_24_05_23,Primary control Auction 12:00 bis 16:00,97
PRL_24_05_23,Primary control Auction 16:00 bis 20:00,112
PRL_24_05_23,Primary control Auction 20:00 bis 24:00,119
PRL_24_05_24,Primary control Auction 00:00 bis 04:00,89
PRL_24_05_24,Primary control Auction 04:00 bis 08:00,100
PRL_24_05_24,Primary control Auction 08:00 bis 12:00,81
PRL_24_05_24,Primary control Auction 12:00 bis 16:00,86
PRL_24_05_24,Primary control Auction 16:00 bis 20:00,100
PRL_24_05_24,Primary control Auction 20:00 bis 24:00,109
PRL_24_05_25,Primary control Auction 00:00 bis 04:00,113
PRL_24_05_25,Primary control Auction 04:00 bis 08:00,116
PRL_24_05_25,Primary control Auction 08:00 bis 12:00,102
PRL_24_05_25,Primary control Auction 12:00 bis 16:00,103
PRL_24_05_25,Primary control Auction 16:00 bis 20:00,113
PRL_24_05_25,Primary control Auction 20:00 bis 24:00,125
PRL_24_05_26,Primary control Auction 00:00 bis 04:00,105
PRL_24_05_26,Primary control Auction 04:00 bis 08:00,95
PRL_24_05_26,Primary control Auction 08:00 bis 12:00,99
PRL_24_05_26,Primary control Auction 12:00 bis 16:00,108
PRL_24_05_26,Primary control Auction 16:00 bis 20:00,114
PRL_24_05_26,Primary control Auction 20:00 bis 24:00,138
PRL_24_05_27,Primary control Auction 00:00 bis 04:00,112
PRL_24_05_27,Primary control Auction 04:00 bis 08:00,106
PRL_24_05_27,Primary control Auction 08:00 bis 12:00,149
PRL_24_05_27,Primary control Auction 12:00 bis 16:00,122
PRL_24_05_27,Primary control Auction 16:00 bis 20:00,146
PRL_24_05_27,Primary control Auction 20:00 bis 24:00,143
PRL_24_05_28,Primary control Auction 00:00 bis 04:00,112
PRL_24_05_28,Primary control Auction 04:00 bis 08:00,95
PRL_24_05_28,Primary control Auction 08:00 bis 12:00,93
PRL_24_05_28,Primary control Auction 12:00 bis 16:00,114
PRL_24_05_28,Primary control Auction 16:00 bis 20:00,105
PRL_24_05_28,Primary control Auction 20:00 bis 24:00,133
PRL_24_05_29,Primary control Auction 00:00 bis 04:00,89
PRL_24_05_29,Primary control Auction 04:00 bis 08:00,119
PRL_24_05_29,Primary control Auction 08:00 bis 12:00,130
