Ausschreibung,Beschreibung,Total_MW
PRL_24_01_15,Primary control Auction 20:00 bis 24:00,46
PRL_24_01_16,Primary control Auction 00:00 bis 04:00,64
PRL_24_01_16,Primary control Auction 04:00 bis 08:00,68
PRL_24_01_16,Primary control Auction 08:00 bis 12:00,55
PRL_24_01_16,Primary control Auction 12:00 bis 16:00,81
PRL_24_01_16,Primary control Auction 16:00 bis 20:00,68
PRL_24_01_16,Primary control Auction 20:00 bis 24:00,36
PRL_24_01_17,Primary control Auction 00:00 bis 04:00,30
PRL_24_01_17,Primary control Auction 04:00 bis 08:00,47
PRL_24_01_17,Primary control Auction 08:00 bis 12:00,52
PRL_24_01_17,Primary control Auction 12:00 bis 16:00,51
PRL_24_01_17,Primary control Auction 16:00 bis 20:00,78
PRL_24_01_17,Primary control Auction 20:00 bis 24:00,38
PRL_24_01_18,Primary control Auction 00:00 bis 04:00,30
PRL_24_01_18,Primary control Auction 04:00 bis 08:00,27
PRL_24_01_18,Primary control Auction 08:00 bis 12:00,108
PRL_24_01_18,Primary control Auction 12:00 bis 16:00,104
PRL_24_01_18,Primary control Auction 16:00 bis 20:00,145
PRL_24_01_18,Primary control Auction 20:00 bis 24:00,54
PRL_24_01_19,Primary control Auction 00:00 bis 04:00,31
PRL_24_01_19,Primary control Auction 04:00 bis 08:00,34
PRL_24_01_19,Primary control Auction 08:00 bis 12:00,62
PRL_24_01_19,Primary control Auction 12:00 bis 16:00,49
PRL_24_01_19,Primary control Auction 16:00 bis 20:00,151
PRL_24_01_19,Primary control Auction 20:00 bis 24:00,72
PRL_24_01_20,Primary control Auction 00:00 bis 04:00,43
PRL_24_01_20,Primary control Auction 04:00 bis 08:00,95
PRL_24_01_20,Primary control Auction 08:00 bis 12:00,117
PRL_24_01_20,Primary control Auction 12:00 bis 16:00,69
PRL_24_01_20,Primary control Auction 16:00 bis 20:00,127
PRL_24_01_20,Primary control Auction 20:00 bis 24:00,100
PRL_24_01_21,Primary control Auction 00:00 bis 04:00,34
PRL_24_01_21,Primary control Auction 04:00 bis 08:00,34
PRL_24_01_21,Primary control Auction 08:00 bis 12:00,33
PRL_24_01_21,Primary control Auction 12:00 bis 16:00,27
PRL_24_01_21,Primary control Auction 16:00 bis 20:00,96
PRL_24_01_21,Primary control Auction 20:00 bis 24:00,67
PRL_24_01_22,Primary control Auction 00:00 bis 04:00,40
PRL_24_01_22,Primary control Auction 04:00 bis 08:00,63
PRL_24_01_22,Primary control Auction 08:00 bis 12:00,103
PRL_24_01_22,Primary control Auction 12:00 bis 16:00,111
PRL_24_01_22,Primary control Auction 16:00 bis 20:00,142
PRL_24_01_22,Primary control Auction 20:00 bis 24:00,73
PRL_24_01_23,Primary control Auction 00:00 bis 04:00,46
PRL_24_01_23,Primary control Auction 04:00 bis 08:00,44
PRL_24_01_23,Primary control Auction 08:00 bis 12:00,106
PRL_24_01_23,Primary control Auction 12:00 bis 16:00,97
PRL_24_01_23,Primary control Auction 16:00 bis 20:00,119
PRL_24_01_23,Primary control Auction 20:00 bis 24:00,46
PRL_24_01_24,Primary control Auction 00:00 bis 04:00,42
PRL_24_01_24,Primary control Auction 04:00 bis 08:00,38
PRL_24_01_24,Primary control Auction 08:00 bis 12:00,50
PRL_24_01_24,Primary control Auction 12:00 bis 16:00,39
PRL_24_01_24,Primary control Auction 16:00 bis 20:00,65
PRL_24_01_24,Primary control Auction 20:00 bis 24:00,36
PRL_24_01_25,Primary control Auction 00:00 bis 04:00,57
PRL_24_01_25,Primary control Auction 04:00 bis 08:00,81
PRL_24_01_25,Primary control Auction 08:00 bis 12:00,90
PRL_24_01_25,Primary control Auction 12:00 bis 16:00,59
PRL_24_01_25,Primary control Auction 16:00 bis 20:00,51
PRL_24_01_25,Primary control Auction 20:00 bis 24:00,50
PRL_24_01_26,Primary control Auction 00:00 bis 04:00,63
PRL_24_01_26,Primary control Auction 04:00 bis 08:00,76
PRL_24_01_26,Primary control Auction 08:00 bis 12:00,105
PRL_24_01_26,Primary control Auction 12:00 bis 16:00,51
PRL_24_01_26,Primary control Auction 16:00 bis 20:00,127
PRL_24_01_26,Primary control Auction 20:00 bis 24:00,58
PRL_24_01_27,Primary control Auction 00:00 bis 04:00,34
PRL_24_01_27,Primary control Auction 04:00 bis 08:00,33
PRL_24_01_27,Primary control Auction 08:00 bis 12:00,30
PRL_24_01_27,Primary control Auction 12:00 bis 16:00,41
PRL_24_01_27,Primary control Auction 16:00 bis 20:00,81
PRL_24_01_27,Primary control Auction 20:00 bis 24:00,24
PRL_24_01_28,Primary control Auction 00:00 bis 04:00,26
PRL_24_01_28,Primary control Auction 04:00 bis 08:00,31
PRL_24_01_28,Primary control Auction 08:00 bis 12:00,32
PRL_24_01_28,Primary control Auction 12:00 bis 16:00,33
PRL_24_01_28,Primary control Auction 16:00 bis 20:00,51
PRL_24_01_28,Primary control Auction 20:00 bis 24:00,37
PRL_24_01_29,Primary control Auction 00:00 bis 04:00,30
PRL_24_01_29,Primary control Auction 04:00 bis 08:00,59
PRL_24_01_29,Primary control Auction 08:00 bis 12:00,100
PRL_24_01_29,Primary control Auction 12:00 bis 16:00,97
PRL_24_01_29,Primary control Auction 16:00 bis 20:00,110
PRL_24_01_29,Primary control Auction 20:00 bis 24:00,60
PRL_24_01_30,Primary control Auction 00:00 bis 04:00,56
PRL_24_01_30,Primary control Auction 04:00 bis 08:00,99
PRL_24_01_30,Primary control Auction 08:00 bis 12:00,106
PRL_24_01_30,Primary control Auction 12:00 bis 16:00,113
PRL_24_01_30,Primary control Auction 16:00 bis 20:00,130
PRL_24_01_30,Primary control Auction 20:00 bis 24:00,55
PRL_24_01_31,Primary control Auction 00:00 bis 04:00,33
PRL_24_01_31,Primary control Auction 04:00 bis 08:00,55
PRL_24_01_31,Primary control Auction 08:00 bis 12:00,107
PRL_24_01_31,Primary control Auction 12:00 bis 16:00,70
PRL_24_01_31,Primary control Auction 16:00 bis 20:00,96
PRL_24_01_31,Primary control Auction 20:00 bis 24:00,48
PRL_24_02_01,Primary control Auction 00:00 bis 04:00,29
PRL_24_02_01,Primary control Auction 04:00 bis 08:00,26
PRL_24_02_01,Primary control Auction 08:00 bis 12:00,58
PRL_24_02_01,Primary control Auction 12:00 bis 16:00,22
PRL_24_02_01,Primary control Auction 16:00 bis 20:00,55
PRL_24_02_01,Primary control Auction 20:00 bis 24:00,25
PRL_24_02_02,Primary control Auction 00:00 bis 04:00,26
PRL_24_02_02,Primary control Auction 04:00 bis 08:00,33
PRL_24_02_02,Primary control Auction 08:00 bis 12:00,76
PRL_24_02_02,Primary control Auction 12:00 bis 16:00,40
PRL_24_02_02,Primary control Auction 16:00 bis 20:00,106
PRL_24_02_02,Primary control Auction 20:00 bis 24:00,28
PRL_24_02_03,Primary control Auction 00:00 bis 04:00,43
PRL_24_02_03,Primary control Auction 04:00 bis 08:00,43
PRL_24_02_03,Primary control Auction 08:00 bis 12:00,40
PRL_24_02_03,Primary control Auction 12:00 bis 16:00,37
PRL_24_02_03,Primary control Auction 16:00 bis 20:00,41
PRL_24_02_03,Primary control Auction 20:00 bis 24:00,40
PRL_24_02_04,Primary control Auction 00:00 bis 04:00,29
PRL_24_02_04,Primary control Auction 04:00 bis 08:00,26
PRL_24_02_04,Primary control Auction 08:00 bis 12:00,19
PRL_24_02_04,Primary control Auction 12:00 bis 16:00,19
PRL_24_02_04,Primary control Auction 16:00 bis 20:00,22
PRL_24_02_04,Primary control Auction 20:00 bis 24:00,19
PRL_24_02_05,Primary control Auction 00:00 bis 04:00,29
PRL_24_02_05,Primary control Auction 04:00 bis 08:00,32
PRL_24_02_05,Primary control Auction 08:00 bis 12:00,33
PRL_24_02_05,Primary control Auction 12:00 bis 16:00,32
PRL_24_02_05,Primary control Auction 16:00 bis 20:00,77
PRL_24_02_05,Primary control Auction 20:00 bis 24:00,21
PRL_24_02_06,Primary control Auction 00:00 bis 04:00,32
PRL_24_02_06,Primary control Auction 04:00 bis 08:00,37
PRL_24_02_06,Primary control Auction 08:00 bis 12:00,35
PRL_24_02_06,Primary control Auction 12:00 bis 16:00,29
PRL_24_02_06,Primary control Auction 16:00 bis 20:00,72
PRL_24_02_06,Primary control Auction 20:00 bis 24:00,24
PRL_24_02_07,Primary control Auction 00:00 bis 04:00,26
PRL_24_02_07,Primary control Auction 04:00 bis 08:00,24
PRL_24_02_07,Primary control Auction 08:00 bis 12:00,53
PRL_24_02_07,Primary control Auction 12:00 bis 16:00,48
PRL_24_02_07,Primary control Auction 16:00 bis 20:00,63
PRL_24_02_07,Primary control Auction 20:00 bis 24:00,43
PRL_24_02_08,Primary control Auction 00:00 bis 04:00,19
PRL_24_02_08,Primary control Auction 04:00 bis 08:00,53
PRL_24_02_08,Primary control Auction 08:00 bis 12:00,72
PRL_24_02_08,Primary control Auction 12:00 bis 16:00,40
PRL_24_02_08,Primary control Auction 16:00 bis 20:00,80
PRL_24_02_08,Primary control Auction 20:00 bis 24:00,41
PRL_24_02_09,Primary control Auction 00:00 bis 04:00,28
PRL_24_02_09,Primary control Auction 04:00 bis 08:00,31
PRL_24_02_09,Primary control Auction 08:00 bis 12:00,55
PRL_24_02_09,Primary control Auction 12:00 bis 16:00,44
PRL_24_02_09,Primary control Auction 16:00 bis 20:00,93
PRL_24_02_09,Primary control Auction 20:00 bis 24:00,26
PRL_24_02_10,Primary control Auction 00:00 bis 04:00,33
PRL_24_02_10,Primary control Auction 04:00 bis 08:00,31
PRL_24_02_10,Primary control Auction 08:00 bis 12:00,26
PRL_24_02_10,Primary control Auction 12:00 bis 16:00,27
PRL_24_02_10,Primary control Auction 16:00 bis 20:00,53
PRL_24_02_10,Primary control Auction 20:00 bis 24:00,25
PRL_24_02_11,Primary control Auction 00:00 bis 04:00,32
PRL_24_02_11,Primary control Auction 04:00 bis 08:00,30
PRL_24_02_11,Primary control Auction 08:00 bis 12:00,32
PRL_24_02_11,Primary control Auction 12:00 bis 16:00,26
PRL_24_02_11,Primary control Auction 16:00 bis 20:00,56
PRL_24_02_11,Primary control Auction 20:00 bis 24:00,19
PRL_24_02_12,Primary control Auction 00:00 bis 04:00,49
PRL_24_02_12,Primary control Auction 04:00 bis 08:00,48
PRL_24_02_12,Primary control Auction 08:00 bis 12:00,61
PRL_24_02_12,Primary control Auction 12:00 bis 16:00,36
PRL_24_02_12,Primary control Auction 16:00 bis 20:00,73
PRL_24_02_12,Primary control Auction 20:00 bis 24:00,36
PRL_24_02_13,Primary control Auction 00:00 bis 04:00,42
PRL_24_02_13,Primary control Auction 04:00 bis 08:00,45
PRL_24_02_13,Primary control Auction 08:00 bis 12:00,79
PRL_24_02_13,Primary control Auction 12:00 bis 16:00,49
