Ausschreibung,Preis
PRL_29_01_01_1,16.09
PRL_29_01_01_2,14.63
PRL_29_01_01_3,9.64
PRL_29_01_01_4,10.88
PRL_29_01_01_5,10.15
PRL_29_01_01_6,11.21
PRL_29_01_02_1,13.17
PRL_29_01_02_2,13.74
PRL_29_01_02_3,9.4
PRL_29_01_02_4,8.3
PRL_29_01_02_5,8.41
PRL_29_01_02_6,7.99
PRL_29_01_03_1,13.23
PRL_29_01_03_2,12.29
PRL_29_01_03_3,7.9
PRL_29_01_03_4,8.41
PRL_29_01_03_5,9.45
PRL_29_01_03_6,7.79
PRL_29_01_04_1,19.0
PRL_29_01_04_2,15.08
PRL_29_01_04_3,7.87
PRL_29_01_04_4,7.57
PRL_29_01_04_5,7.85
PRL_29_01_04_6,6.95
PRL_29_01_05_1,11.41
PRL_29_01_05_2,9.14
PRL_29_01_05_3,7.01
PRL_29_01_05_4,6.0
PRL_29_01_05_5,7.62
PRL_29_01_05_6,5.66
PRL_29_01_06_1,9.75
PRL_29_01_06_2,7.85
PRL_29_01_06_3,5.38
PRL_29_01_06_4,5.1
PRL_29_01_06_5,5.76
PRL_29_01_06_6,5.27
PRL_29_01_07_1,7.7
PRL_29_01_07_2,8.13
PRL_29_01_07_3,5.45
PRL_29_01_07_4,4.78
PRL_29_01_07_5,6.1
PRL_29_01_07_6,4.99
PRL_29_01_08_1,7.05
PRL_29_01_08_2,9.42
PRL_29_01_08_3,5.67
PRL_29_01_08_4,5.19
PRL_29_01_08_5,5.61
PRL_29_01_08_6,4.82
PRL_29_01_09_1,5.67
PRL_29_01_09_2,6.48
PRL_29_01_09_3,5.08
PRL_29_01_09_4,4.65
PRL_29_01_09_5,7.42
PRL_29_01_09_6,4.77
PRL_29_01_10_1,5.19
PRL_29_01_10_2,7.66
PRL_29_01_10_3,7.78
PRL_29_01_10_4,5.4
PRL_29_01_10_5,7.96
PRL_29_01_10_6,4.08
PRL_29_01_11_1,4.6
PRL_29_01_11_2,5.16
PRL_29_01_11_3,4.92
PRL_29_01_11_4,3.92
PRL_29_01_11_5,7.74
PRL_29_01_11_6,3.81
PRL_29_01_12_1,3.76
PRL_29_01_12_2,4.65
PRL_29_01_12_3,5.56
PRL_29_01_12_4,3.62
PRL_29_01_12_5,7.61
PRL_29_01_12_6,3.59
PRL_29_01_13_1,5.86
PRL_29_01_13_2,6.18
PRL_29_01_13_3,4.95
PRL_29_01_13_4,5.61
PRL_29_01_13_5,4.81
PRL_29_01_13_6,4.82
PRL_29_01_14_1,4.13
PRL_29_01_14_2,4.44
PRL_29_01_14_3,5.05
PRL_29_01_14_4,3.81
PRL_29_01_14_5,4.44
PRL_29_01_14_6,4.3
PRL_29_01_15_1,5.1
PRL_29_01_15_2,4.63
PRL_29_01_15_3,4.49
PRL_29_01_15_4,3.8
PRL_29_01_15_5,5.26
PRL_29_01_15_6,3.81
PRL_29_01_16_1,4.94
PRL_29_01_16_2,4.88
PRL_29_01_16_3,5.14
PRL_29_01_16_4,4.08
PRL_29_01_16_5,5.81
PRL_29_01_16_6,3.46
PRL_29_01_17_1,4.07
PRL_29_01_17_2,5.59
PRL_29_01_17_3,4.8
PRL_29_01_17_4,3.63
PRL_29_01_17_5,6.24
PRL_29_01_17_6,3.36
PRL_29_01_18_1,3.83
PRL_29_01_18_2,4.28
PRL_29_01_18_3,4.46
PRL_29_01_18_4,3.18
PRL_29_01_18_5,6.76
PRL_29_01_18_6,3.44
PRL_29_01_19_1,4.22
PRL_29_01_19_2,5.33
PRL_29_01_19_3,5.61
PRL_29_01_19_4,3.48
PRL_29_01_19_5,6.44
PRL_29_01_19_6,3.37
PRL_29_01_20_1,4.48
PRL_29_01_20_2,4.36
PRL_29_01_20_3,3.64
PRL_29_01_20_4,3.55
PRL_29_01_20_5,3.68
PRL_29_01_20_6,3.9
PRL_29_01_21_1,5.56
PRL_29_01_21_2,5.44
PRL_29_01_21_3,5.29
PRL_29_01_21_4,4.47
PRL_29_01_21_5,4.78
PRL_29_01_21_6,4.16
PRL_29_01_22_1,5.58
PRL_29_01_22_2,5.66
PRL_29_01_22_3,5.28
PRL_29_01_22_4,4.51
PRL_29_01_22_5,6.09
PRL_29_01_22_6,4.4
PRL_29_01_23_1,7.01
PRL_29_01_23_2,7.42
PRL_29_01_23_3,5.28
PRL_29_01_23_4,5.04
PRL_29_01_23_5,5.51
PRL_29_01_23_6,5.21
PRL_29_01_24_1,8.36
PRL_29_01_24_2,7.56
PRL_29_01_24_3,5.54
PRL_29_01_24_4,5.29
PRL_29_01_24_5,6.48
PRL_29_01_24_6,5.61
PRL_29_01_25_1,12.1
PRL_29_01_25_2,9.19
PRL_29_01_25_3,4.49
PRL_29_01_25_4,4.47
PRL_29_01_25_5,5.79
PRL_29_01_25_6,4.26
PRL_29_01_26_1,8.27
PRL_29_01_26_2,6.83
PRL_29_01_26_3,4.97
PRL_29_01_26_4,4.84
PRL_29_01_26_5,6.48
PRL_29_01_26_6,4.93
PRL_29_01_27_1,7.59
PRL_29_01_27_2,6.63
PRL_29_01_27_3,6.17
PRL_29_01_27_4,4.92
PRL_29_01_27_5,4.84
PRL_29_01_27_6,4.77
PRL_29_01_28_1,6.79
PRL_29_01_28_2,5.67
PRL_29_01_28_3,5.05
PRL_29_01_28_4,6.57
PRL_29_01_28_5,5.45
PRL_29_01_28_6,4.51
PRL_29_01_29_1,5.76
PRL_29_01_29_2,6.73
PRL_29_01_29_3,4.35
PRL_29_01_29_4,4.11
PRL_29_01_29_5,5.33
PRL_29_01_29_6,3.44
PRL_29_01_30_1,5.0
PRL_29_01_30_2,5.5
PRL_29_01_30_3,4.71
PRL_29_01_30_4,4.18
PRL_29_01_30_5,5.66
PRL_29_01_30_6,3.36
PRL_29_01_31_1,4.63
PRL_29_01_31_2,5.05
PRL_29_01_31_3,4.46
PRL_29_01_31_4,4.31
PRL_29_01_31_5,3.78
PRL_29_01_31_6,3.67
PRL_29_02_01_1,4.44
PRL_29_02_01_2,4.73
PRL_29_02_01_3,3.97
PRL_29_02_01_4,3.77
PRL_29_02_01_5,3.64
PRL_29_02_01_6,3.69
PRL_29_02_02_1,4.2
PRL_29_02_02_2,5.74
PRL_29_02_02_3,4.6
PRL_29_02_02_4,4.18
PRL_29_02_02_5,3.57
PRL_29_02_02_6,3.71
PRL_29_02_03_1,10.93
PRL_29_02_03_2,11.9
PRL_29_02_03_3,7.85
PRL_29_02_03_4,10.51
PRL_29_02_03_5,6.99
PRL_29_02_03_6,7.85
PRL_29_02_04_1,9.04
PRL_29_02_04_2,7.9
PRL_29_02_04_3,5.14
PRL_29_02_04_4,6.17
PRL_29_02_04_5,5.33
PRL_29_02_04_6,4.77
PRL_29_02_05_1,7.93
PRL_29_02_05_2,7.74
PRL_29_02_05_3,5.33
PRL_29_02_05_4,5.43
PRL_29_02_05_5,5.33
PRL_29_02_05_6,4.75
PRL_29_02_06_1,7.85
PRL_29_02_06_2,7.9
PRL_29_02_06_3,5.38
PRL_29_02_06_4,5.05
PRL_29_02_06_5,5.65
PRL_29_02_06_6,4.5
PRL_29_02_07_1,7.8
PRL_29_02_07_2,7.54
PRL_29_02_07_3,3.98
PRL_29_02_07_4,4.48
PRL_29_02_07_5,5.38
PRL_29_02_07_6,3.66
PRL_29_02_08_1,4.48
PRL_29_02_08_2,5.44
PRL_29_02_08_3,4.2
PRL_29_02_08_4,3.08
PRL_29_02_08_5,4.26
PRL_29_02_08_6,4.09
PRL_29_02_09_1,5.61
PRL_29_02_09_2,5.57
PRL_29_02_09_3,3.92
PRL_29_02_09_4,3.87
PRL_29_02_09_5,4.7
PRL_29_02_09_6,3.64
PRL_29_02_10_1,5.02
PRL_29_02_10_2,5.05
PRL_29_02_10_3,3.5
PRL_29_02_10_4,3.76
PRL_29_02_10_5,3.92
PRL_29_02_10_6,3.24
PRL_29_02_11_1,5.34
PRL_29_02_11_2,4.86
PRL_29_02_11_3,4.09
PRL_29_02_11_4,3.5
PRL_29_02_11_5,4.46
PRL_29_02_11_6,2.97
PRL_29_02_12_1,5.07
PRL_29_02_12_2,4.97
PRL_29_02_12_3,3.59
PRL_29_02_12_4,3.23
PRL_29_02_12_5,4.91
PRL_29_02_12_6,2.86
PRL_29_02_13_1,4.66
PRL_29_02_13_2,5.11
PRL_29_02_13_3,4.16
PRL_29_02_13_4,4.2
PRL_29_02_13_5,5.33
PRL_29_02_13_6,2.76
PRL_29_02_14_1,4.2
PRL_29_02_14_2,4.33
PRL_29_02_14_3,3.72
PRL_29_02_14_4,3.04
PRL_29_02_14_5,4.1
PRL_29_02_14_6,2.68
PRL_29_02_15_1,3.81
PRL_29_02_15_2,3.08
PRL_29_02_15_3,2.6
PRL_29_02_15_4,4.06
PRL_29_02_15_5,2.58
PRL_29_02_15_6,2.58
PRL_29_02_16_1,3.45
PRL_29_02_16_2,3.59
PRL_29_02_16_3,3.16
PRL_29_02_16_4,2.6
PRL_29_02_16_5,3.89
PRL_29_02_16_6,2.58
PRL_29_02_17_1,3.44
PRL_29_02_17_2,3.14
PRL_29_02_17_3,2.68
PRL_29_02_17_4,2.94
PRL_29_02_17_5,2.82
PRL_29_02_17_6,2.43
PRL_29_02_18_1,3.36
PRL_29_02_18_2,3.5
PRL_29_02_18_3,4.11
PRL_29_02_18_4,4.93
PRL_29_02_18_5,3.27
PRL_29_02_18_6,2.58
PRL_29_02_19_1,3.5
PRL_29_02_19_2,3.36
PRL_29_02_19_3,3.27
PRL_29_02_19_4,3.55
PRL_29_02_19_5,4.43
PRL_29_02_19_6,2.68
PRL_29_02_20_1,4.14
PRL_29_02_20_2,3.81
PRL_29_02_20_3,3.98
PRL_29_02_20_4,4.6
PRL_29_02_20_5,4.76
PRL_29_02_20_6,2.68
PRL_29_02_21_1,6.16
PRL_29_02_21_2,5.08
PRL_29_02_21_3,4.11
PRL_29_02_21_4,4.26
PRL_29_02_21_5,4.51
PRL_29_02_21_6,3.22
PRL_29_02_22_1,5.45
PRL_29_02_22_2,5.43
PRL_29_02_22_3,3.36
PRL_29_02_22_4,4.54
PRL_29_02_22_5,4.91
PRL_29_02_22_6,6.25
