Ausschreibung,Preis
PRL_24_02_03_2,21.22
PRL_24_02_03_3,14.0
PRL_24_02_03_4,18.75
PRL_24_02_03_5,12.46
PRL_24_02_03_6,14.0
PRL_24_02_04_1,16.12
PRL_24_02_04_2,14.1
PRL_24_02_04_3,9.17
PRL_24_02_04_4,11.0
PRL_24_02_04_5,9.5
PRL_24_02_04_6,8.5
PRL_24_02_05_1,14.15
PRL_24_02_05_2,13.8
PRL_24_02_05_3,9.5
PRL_24_02_05_4,9.68
PRL_24_02_05_5,9.5
PRL_24_02_05_6,8.48
PRL_24_02_06_1,14.0
PRL_24_02_06_2,14.1
PRL_24_02_06_3,9.6
PRL_24_02_06_4,9.0
PRL_24_02_06_5,10.08
PRL_24_02_06_6,8.03
PRL_24_02_07_1,13.91
PRL_24_02_07_2,13.45
PRL_24_02_07_3,7.1
PRL_24_02_07_4,8.0
PRL_24_02_07_5,9.6
PRL_24_02_07_6,6.52
PRL_24_02_08_1,8.0
PRL_24_02_08_2,9.7
PRL_24_02_08_3,7.5
PRL_24_02_08_4,5.5
PRL_24_02_08_5,7.59
PRL_24_02_08_6,7.3
PRL_24_02_09_1,10.0
PRL_24_02_09_2,9.94
PRL_24_02_09_3,7.0
PRL_24_02_09_4,6.91
PRL_24_02_09_5,8.39
PRL_24_02_09_6,6.5
PRL_24_02_10_1,8.95
PRL_24_02_10_2,9.0
PRL_24_02_10_3,6.25
PRL_24_02_10_4,6.7
PRL_24_02_10_5,7.0
PRL_24_02_10_6,5.78
PRL_24_02_11_1,9.52
PRL_24_02_11_2,8.67
PRL_24_02_11_3,7.3
PRL_24_02_11_4,6.25
PRL_24_02_11_5,7.96
PRL_24_02_11_6,5.3
PRL_24_02_12_1,9.04
PRL_24_02_12_2,8.87
PRL_24_02_12_3,6.4
PRL_24_02_12_4,5.77
PRL_24_02_12_5,8.75
PRL_24_02_12_6,5.1
PRL_24_02_13_1,8.32
PRL_24_02_13_2,9.11
PRL_24_02_13_3,7.42
PRL_24_02_13_4,7.5
PRL_24_02_13_5,9.5
PRL_24_02_13_6,4.92
PRL_24_02_14_1,7.5
PRL_24_02_14_2,7.72
PRL_24_02_14_3,6.64
PRL_24_02_14_4,5.42
PRL_24_02_14_5,7.32
PRL_24_02_14_6,4.78
PRL_24_02_15_1,6.8
PRL_24_02_15_2,5.5
PRL_24_02_15_3,4.63
PRL_24_02_15_4,7.24
PRL_24_02_15_5,4.6
PRL_24_02_16_1,6.16
PRL_24_02_16_2,6.4
PRL_24_02_16_3,5.63
PRL_24_02_16_4,4.63
PRL_24_02_16_5,6.94
PRL_24_02_16_6,4.6
PRL_24_02_17_1,6.13
PRL_24_02_17_2,5.6
PRL_24_02_17_3,4.78
PRL_24_02_17_4,5.25
PRL_24_02_17_5,5.03
PRL_24_02_17_6,4.33
