Ausschreibung,Preis
PRL_28_01_01_1,23.92
PRL_28_01_01_2,21.76
PRL_28_01_01_3,14.34
PRL_28_01_01_4,16.17
PRL_28_01_01_5,15.09
PRL_28_01_01_6,16.66
PRL_28_01_02_1,19.59
PRL_28_01_02_2,20.42
PRL_28_01_02_3,13.97
PRL_28_01_02_4,12.34
PRL_28_01_02_5,12.5
PRL_28_01_02_6,11.89
PRL_28_01_03_1,19.67
PRL_28_01_03_2,18.27
PRL_28_01_03_3,11.75
PRL_28_01_03_4,12.5
PRL_28_01_03_5,14.05
PRL_28_01_03_6,11.59
PRL_28_01_04_1,28.26
PRL_28_01_04_2,22.42
PRL_28_01_04_3,11.7
PRL_28_01_04_4,11.25
PRL_28_01_04_5,11.67
PRL_28_01_04_6,10.34
PRL_28_01_05_1,16.96
PRL_28_01_05_2,13.59
PRL_28_01_05_3,10.43
PRL_28_01_05_4,8.92
PRL_28_01_05_5,11.34
PRL_28_01_05_6,8.42
PRL_28_01_06_1,14.5
PRL_28_01_06_2,11.68
PRL_28_01_06_3,8.0
PRL_28_01_06_4,7.58
PRL_28_01_06_5,8.57
PRL_28_01_06_6,7.84
PRL_28_01_07_1,11.45
PRL_28_01_07_2,12.09
PRL_28_01_07_3,8.1
PRL_28_01_07_4,7.11
PRL_28_01_07_5,9.07
PRL_28_01_07_6,7.42
PRL_28_01_08_1,10.49
PRL_28_01_08_2,14.0
PRL_28_01_08_3,8.44
PRL_28_01_08_4,7.72
PRL_28_01_08_5,8.34
PRL_28_01_08_6,7.17
PRL_28_01_09_1,8.44
PRL_28_01_09_2,9.63
PRL_28_01_09_3,7.56
PRL_28_01_09_4,6.92
PRL_28_01_09_5,11.03
PRL_28_01_09_6,7.09
PRL_28_01_10_1,7.71
PRL_28_01_10_2,11.39
PRL_28_01_10_3,11.57
PRL_28_01_10_4,8.03
PRL_28_01_10_5,11.84
PRL_28_01_10_6,6.07
PRL_28_01_11_1,6.84
PRL_28_01_11_2,7.67
PRL_28_01_11_3,7.32
PRL_28_01_11_4,5.83
PRL_28_01_11_5,11.5
PRL_28_01_11_6,5.67
PRL_28_01_12_1,5.58
PRL_28_01_12_2,6.92
PRL_28_01_12_3,8.26
PRL_28_01_12_4,5.38
PRL_28_01_12_5,11.31
PRL_28_01_12_6,5.33
PRL_28_01_13_1,8.71
PRL_28_01_13_2,9.19
PRL_28_01_13_3,7.36
PRL_28_01_13_4,8.34
PRL_28_01_13_5,7.15
PRL_28_01_13_6,7.16
PRL_28_01_14_1,6.14
PRL_28_01_14_2,6.6
PRL_28_01_14_3,7.5
PRL_28_01_14_4,5.67
PRL_28_01_14_5,6.6
PRL_28_01_14_6,6.39
PRL_28_01_15_1,7.59
PRL_28_01_15_2,6.88
PRL_28_01_15_3,6.68
PRL_28_01_15_4,5.65
PRL_28_01_15_5,7.82
PRL_28_01_15_6,5.66
PRL_28_01_16_1,7.34
PRL_28_01_16_2,7.25
PRL_28_01_16_3,7.64
PRL_28_01_16_4,6.07
PRL_28_01_16_5,8.64
PRL_28_01_16_6,5.14
PRL_28_01_17_1,6.05
PRL_28_01_17_2,8.31
PRL_28_01_17_3,7.14
PRL_28_01_17_4,5.4
PRL_28_01_17_5,9.28
PRL_28_01_17_6,4.99
PRL_28_01_18_1,5.69
PRL_28_01_18_2,6.36
PRL_28_01_18_3,6.64
PRL_28_01_18_4,4.73
PRL_28_01_18_5,10.04
PRL_28_01_18_6,5.12
PRL_28_01_19_1,6.27
PRL_28_01_19_2,7.92
PRL_28_01_19_3,8.34
PRL_28_01_19_4,5.17
PRL_28_01_19_5,9.57
PRL_28_01_19_6,5.01
PRL_28_01_20_1,6.67
PRL_28_01_20_2,6.48
PRL_28_01_20_3,5.42
PRL_28_01_20_4,5.28
PRL_28_01_20_5,5.47
PRL_28_01_20_6,5.8
PRL_28_01_21_1,8.27
PRL_28_01_21_2,8.09
PRL_28_01_21_3,7.87
PRL_28_01_21_4,6.65
PRL_28_01_21_5,7.1
PRL_28_01_21_6,6.19
PRL_28_01_22_1,8.29
PRL_28_01_22_2,8.42
PRL_28_01_22_3,7.85
PRL_28_01_22_4,6.7
PRL_28_01_22_5,9.05
PRL_28_01_22_6,6.54
PRL_28_01_23_1,10.42
PRL_28_01_23_2,11.03
PRL_28_01_23_3,7.85
PRL_28_01_23_4,7.49
PRL_28_01_23_5,8.19
PRL_28_01_23_6,7.74
PRL_28_01_24_1,12.44
PRL_28_01_24_2,11.24
PRL_28_01_24_3,8.24
PRL_28_01_24_4,7.86
PRL_28_01_24_5,9.63
PRL_28_01_24_6,8.34
PRL_28_01_25_1,17.99
PRL_28_01_25_2,13.67
PRL_28_01_25_3,6.68
PRL_28_01_25_4,6.64
PRL_28_01_25_5,8.61
PRL_28_01_25_6,6.33
PRL_28_01_26_1,12.3
PRL_28_01_26_2,10.15
PRL_28_01_26_3,7.39
PRL_28_01_26_4,7.19
PRL_28_01_26_5,9.63
PRL_28_01_26_6,7.33
PRL_28_01_27_1,11.28
PRL_28_01_27_2,9.85
PRL_28_01_27_3,9.17
PRL_28_01_27_4,7.32
PRL_28_01_27_5,7.19
PRL_28_01_27_6,7.09
PRL_28_01_28_1,10.1
PRL_28_01_28_2,8.43
PRL_28_01_28_3,7.51
PRL_28_01_28_4,9.77
PRL_28_01_28_5,8.1
PRL_28_01_28_6,6.7
PRL_28_01_29_1,8.56
PRL_28_01_29_2,10.0
PRL_28_01_29_3,6.47
PRL_28_01_29_4,6.11
PRL_28_01_29_5,7.92
PRL_28_01_29_6,5.12
PRL_28_01_30_1,7.44
PRL_28_01_30_2,8.18
PRL_28_01_30_3,7.0
PRL_28_01_30_4,6.21
PRL_28_01_30_5,8.41
PRL_28_01_30_6,5.0
PRL_28_01_31_1,6.88
PRL_28_01_31_2,7.5
PRL_28_01_31_3,6.64
PRL_28_01_31_4,6.4
PRL_28_01_31_5,5.63
PRL_28_01_31_6,5.46
PRL_28_02_01_1,6.6
PRL_28_02_01_2,7.03
PRL_28_02_01_3,5.9
PRL_28_02_01_4,5.6
PRL_28_02_01_5,5.42
PRL_28_02_01_6,5.49
PRL_28_02_02_1,6.25
PRL_28_02_02_2,8.54
PRL_28_02_02_3,6.84
PRL_28_02_02_4,6.21
PRL_28_02_02_5,5.31
PRL_28_02_02_6,5.52
PRL_28_02_03_1,16.25
PRL_28_02_03_2,17.69
PRL_28_02_03_3,11.67
PRL_28_02_03_4,15.63
PRL_28_02_03_5,10.39
PRL_28_02_03_6,11.67
PRL_28_02_04_1,13.44
PRL_28_02_04_2,11.75
PRL_28_02_04_3,7.64
PRL_28_02_04_4,9.17
PRL_28_02_04_5,7.92
PRL_28_02_04_6,7.09
PRL_28_02_05_1,11.79
PRL_28_02_05_2,11.5
PRL_28_02_05_3,7.92
PRL_28_02_05_4,8.07
PRL_28_02_05_5,7.92
PRL_28_02_05_6,7.07
PRL_28_02_06_1,11.67
PRL_28_02_06_2,11.75
PRL_28_02_06_3,8.0
PRL_28_02_06_4,7.5
PRL_28_02_06_5,8.4
PRL_28_02_06_6,6.69
PRL_28_02_07_1,11.59
PRL_28_02_07_2,11.21
PRL_28_02_07_3,5.92
PRL_28_02_07_4,6.67
PRL_28_02_07_5,8.0
PRL_28_02_07_6,5.43
PRL_28_02_08_1,6.67
PRL_28_02_08_2,8.09
PRL_28_02_08_3,6.25
PRL_28_02_08_4,4.58
PRL_28_02_08_5,6.33
PRL_28_02_08_6,6.09
PRL_28_02_09_1,8.34
PRL_28_02_09_2,8.29
PRL_28_02_09_3,5.83
PRL_28_02_09_4,5.76
PRL_28_02_09_5,6.99
PRL_28_02_09_6,5.42
PRL_28_02_10_1,7.46
PRL_28_02_10_2,7.5
PRL_28_02_10_3,5.21
PRL_28_02_10_4,5.58
PRL_28_02_10_5,5.83
PRL_28_02_10_6,4.82
PRL_28_02_11_1,7.94
PRL_28_02_11_2,7.23
PRL_28_02_11_3,6.09
PRL_28_02_11_4,5.21
PRL_28_02_11_5,6.64
PRL_28_02_11_6,4.42
PRL_28_02_12_1,7.54
PRL_28_02_12_2,7.39
PRL_28_02_12_3,5.33
PRL_28_02_12_4,4.81
PRL_28_02_12_5,7.29
PRL_28_02_12_6,4.25
PRL_28_02_13_1,6.94
PRL_28_02_13_2,7.59
PRL_28_02_13_3,6.19
PRL_28_02_13_4,6.25
PRL_28_02_13_5,7.92
PRL_28_02_13_6,4.1
PRL_28_02_14_1,6.25
PRL_28_02_14_2,6.44
PRL_28_02_14_3,5.53
PRL_28_02_14_4,4.52
PRL_28_02_14_5,6.1
PRL_28_02_14_6,3.98
PRL_28_02_15_1,5.67
PRL_28_02_15_2,4.58
PRL_28_02_15_3,3.86
PRL_28_02_15_4,6.04
PRL_28_02_15_5,3.83
PRL_28_02_15_6,3.83
PRL_28_02_16_1,5.13
PRL_28_02_16_2,5.33
PRL_28_02_16_3,4.69
PRL_28_02_16_4,3.86
PRL_28_02_16_5,5.78
PRL_28_02_16_6,3.83
PRL_28_02_17_1,5.11
PRL_28_02_17_2,4.67
